snapshot_date,branch_code,item_no,on_hand_qty,allocated_qty,on_order_qty,backorder_qty,unit_cost,inventory_value
2026-04-30,RL-JCB,TL-9002,1112,0,0,0,6.40,7116.80
2026-05-31,RL-BRI,RM-1001,6143,1375,0,1060,2.86,17568.98
2026-05-31,RL-BRI,RM-1002,3391,0,450,682,4.95,16785.45
2026-05-31,RL-BRI,RM-1003,1585,189,0,0,8.25,13076.25
2026-05-31,RL-BRI,RM-1010,2790,412,0,0,13.50,37665.00
2026-05-31,RL-BRI,RM-1011,1047,170,0,0,17.95,18793.65
2026-05-31,RL-BRI,RM-1020,1505,82,0,252,4.05,6095.25
2026-05-31,RL-BRI,RM-1021,588,0,0,49,28.10,16522.80
2026-05-31,RL-BRI,RM-1022,1639,0,0,0,6.45,10571.55
2026-05-31,RL-BRI,FS-2001,1668,88,0,0,20.60,34360.80
2026-05-31,RL-BRI,FS-2002,1844,186,0,0,23.60,43518.40
2026-05-31,RL-BRI,FS-2010,5134,1099,1934,0,1.33,6828.22
2026-05-31,RL-BRI,FS-2011,478,0,0,0,34.90,16682.20
2026-05-31,RL-BRI,CM-3001,3114,144,0,555,4.95,15414.30
2026-05-31,RL-BRI,CM-3002,1229,307,0,0,3.90,4793.10
2026-05-31,RL-BRI,CM-3010,909,50,0,0,9.30,8453.70
2026-05-31,RL-BRI,CM-3020,1240,0,0,42,10.25,12710.00
2026-05-31,RL-BRI,RF-4001,2326,421,0,0,27.90,64895.40
2026-05-31,RL-BRI,RF-4002,595,98,0,0,37.65,22401.75
2026-05-31,RL-BRI,RF-4010,771,0,287,0,21.50,16576.50
2026-05-31,RL-BRI,RF-4011,709,0,0,0,78.85,55904.65
2026-05-31,RL-BRI,RF-4020,4014,435,2040,0,1.69,6783.66
2026-05-31,RL-BRI,PT-5001,1911,0,235,0,32.20,61534.20
2026-05-31,RL-BRI,PT-5002,710,137,0,0,23.70,16827.00
2026-05-31,RL-BRI,PT-5010,1988,151,651,0,9.05,17991.40
2026-05-31,RL-BRI,PT-5011,1284,0,324,0,13.25,17013.00
2026-05-31,RL-BRI,DW-6001,317,0,0,0,64.10,20319.70
2026-05-31,RL-BRI,DW-6002,309,0,0,14,208.10,64302.90
2026-05-31,RL-BRI,DW-6010,234,6,0,0,224.60,52556.40
2026-05-31,RL-BRI,SX-7001,512,8,0,110,68.05,34841.60
2026-05-31,RL-BRI,SX-7010,1367,327,0,0,10.65,14558.55
2026-05-31,RL-BRI,TL-9001,3392,0,0,0,4.50,15264.00
2026-05-31,RL-BRI,TL-9002,3169,759,953,0,6.40,20281.60
2026-05-31,RL-KPT,RM-1001,4671,226,1085,0,2.86,13359.06
2026-05-31,RL-KPT,RM-1002,2113,0,0,0,4.95,10459.35
2026-05-31,RL-KPT,RM-1003,1271,0,0,0,8.25,10485.75
2026-05-31,RL-KPT,RM-1010,1790,0,0,0,13.50,24165.00
2026-05-31,RL-KPT,RM-1011,1707,324,0,0,17.95,30640.65
2026-05-31,RL-KPT,RM-1020,942,0,0,178,4.05,3815.10
2026-05-31,RL-KPT,RM-1021,247,0,98,0,28.10,6940.70
2026-05-31,RL-KPT,RM-1022,940,0,0,0,6.45,6063.00
2026-05-31,RL-KPT,FS-2001,794,0,174,0,20.60,16356.40
2026-05-31,RL-KPT,FS-2002,1871,464,0,0,23.60,44155.60
2026-05-31,RL-KPT,FS-2010,6540,1510,0,304,1.33,8698.20
2026-05-31,RL-KPT,FS-2011,392,0,0,0,34.90,13680.80
2026-05-31,RL-KPT,CM-3001,2962,124,0,0,4.95,14661.90
2026-05-31,RL-KPT,CM-3002,1950,484,0,0,3.90,7605.00
2026-05-31,RL-KPT,CM-3010,367,0,220,83,9.30,3413.10
2026-05-31,RL-KPT,CM-3020,1144,0,0,122,10.25,11726.00
2026-05-31,RL-KPT,RF-4001,3465,0,0,0,27.90,96673.50
2026-05-31,RL-KPT,RF-4002,692,8,267,0,37.65,26053.80
2026-05-31,RL-KPT,RF-4010,647,73,0,117,21.50,13910.50
2026-05-31,RL-KPT,RF-4011,482,91,0,0,78.85,38005.70
2026-05-31,RL-KPT,RF-4020,2994,0,0,275,1.69,5059.86
2026-05-31,RL-KPT,PT-5001,810,35,0,0,32.20,26082.00
2026-05-31,RL-KPT,PT-5002,410,8,0,0,23.70,9717.00
2026-05-31,RL-KPT,PT-5010,2959,528,0,0,9.05,26778.95
2026-05-31,RL-KPT,PT-5011,753,0,0,0,13.25,9977.25
2026-05-31,RL-KPT,DW-6001,388,44,0,0,64.10,24870.80
2026-05-31,RL-KPT,DW-6002,184,21,81,0,208.10,38290.40
2026-05-31,RL-KPT,DW-6010,166,0,0,0,224.60,37283.60
2026-05-31,RL-KPT,SX-7001,611,45,0,0,68.05,41578.55
2026-05-31,RL-KPT,SX-7010,827,0,0,39,10.65,8807.55
2026-05-31,RL-KPT,TL-9001,2903,0,0,0,4.50,13063.50
2026-05-31,RL-KPT,TL-9002,1487,0,0,0,6.40,9516.80
2026-05-31,RL-JCB,RM-1001,1887,413,0,0,2.86,5396.82
2026-05-31,RL-JCB,RM-1002,1175,0,0,230,4.95,5816.25
2026-05-31,RL-JCB,RM-1003,495,0,181,0,8.25,4083.75
2026-05-31,RL-JCB,RM-1010,1926,236,0,234,13.50,26001.00
2026-05-31,RL-JCB,RM-1011,1113,41,0,0,17.95,19978.35
2026-05-31,RL-JCB,RM-1020,830,158,0,0,4.05,3361.50
2026-05-31,RL-JCB,RM-1021,352,3,27,0,28.10,9891.20
2026-05-31,RL-JCB,RM-1022,638,0,291,0,6.45,4115.10
2026-05-31,RL-JCB,FS-2001,1130,0,167,0,20.60,23278.00
2026-05-31,RL-JCB,FS-2002,621,0,0,0,23.60,14655.60
2026-05-31,RL-JCB,FS-2010,4452,0,0,0,1.33,5921.16
2026-05-31,RL-JCB,FS-2011,383,64,0,0,34.90,13366.70
2026-05-31,RL-JCB,CM-3001,1789,71,0,304,4.95,8855.55
2026-05-31,RL-JCB,CM-3002,1063,139,0,168,3.90,4145.70
2026-05-31,RL-JCB,CM-3010,344,0,121,41,9.30,3199.20
2026-05-31,RL-JCB,CM-3020,335,0,135,0,10.25,3433.75
2026-05-31,RL-JCB,RF-4001,1506,136,0,0,27.90,42017.40
2026-05-31,RL-JCB,RF-4002,356,0,67,0,37.65,13403.40
2026-05-31,RL-JCB,RF-4010,438,72,292,0,21.50,9417.00
2026-05-31,RL-JCB,RF-4011,259,46,0,16,78.85,20422.15
2026-05-31,RL-JCB,RF-4020,2148,0,0,0,1.69,3630.12
2026-05-31,RL-JCB,PT-5001,1081,169,0,0,32.20,34808.20
2026-05-31,RL-JCB,PT-5002,680,11,59,43,23.70,16116.00
2026-05-31,RL-JCB,PT-5010,2399,333,0,237,9.05,21710.95
2026-05-31,RL-JCB,PT-5011,417,0,301,0,13.25,5525.25
2026-05-31,RL-JCB,DW-6001,369,0,124,0,64.10,23652.90
2026-05-31,RL-JCB,DW-6002,70,3,51,0,208.10,14567.00
2026-05-31,RL-JCB,DW-6010,119,17,0,0,224.60,26727.40
2026-05-31,RL-JCB,SX-7001,313,19,0,0,68.05,21299.65
2026-05-31,RL-JCB,SX-7010,857,0,0,0,10.65,9127.05
2026-05-31,RL-JCB,TL-9001,1437,0,914,0,4.50,6466.50
2026-05-31,RL-JCB,TL-9002,975,0,327,0,6.40,6240.00
2026-06-30,RL-BRI,RM-1001,7548,0,1793,0,2.86,21587.28
2026-06-30,RL-BRI,RM-1002,4429,756,2153,0,4.95,21923.55
2026-06-30,RL-BRI,RM-1003,850,80,0,0,8.25,7012.50
2026-06-30,RL-BRI,RM-1010,2251,0,0,0,13.50,30388.50
2026-06-30,RL-BRI,RM-1011,2466,0,0,0,17.95,44264.70
2026-06-30,RL-BRI,RM-1020,1469,0,805,0,4.05,5949.45
2026-06-30,RL-BRI,RM-1021,657,137,198,64,28.10,18461.70
2026-06-30,RL-BRI,RM-1022,1273,0,1175,0,6.45,8210.85
2026-06-30,RL-BRI,FS-2001,2070,429,418,0,20.60,42642.00
2026-06-30,RL-BRI,FS-2002,1687,60,269,0,23.60,39813.20
2026-06-30,RL-BRI,FS-2010,6809,0,0,0,1.33,9055.97
2026-06-30,RL-BRI,FS-2011,548,81,0,0,34.90,19125.20
2026-06-30,RL-BRI,CM-3001,3098,250,2218,0,4.95,15335.10
2026-06-30,RL-BRI,CM-3002,2340,0,0,0,3.90,9126.00
2026-06-30,RL-BRI,CM-3010,811,0,232,0,9.30,7542.30
2026-06-30,RL-BRI,CM-3020,1132,156,0,0,10.25,11603.00
2026-06-30,RL-BRI,RF-4001,1816,372,0,127,27.90,50666.40
2026-06-30,RL-BRI,RF-4002,929,30,0,0,37.65,34976.85
2026-06-30,RL-BRI,RF-4010,845,100,0,0,21.50,18167.50
2026-06-30,RL-BRI,RF-4011,443,0,250,0,78.85,34930.55
2026-06-30,RL-BRI,RF-4020,2390,0,1228,0,1.69,4039.10
2026-06-30,RL-BRI,PT-5001,1067,83,255,0,32.20,34357.40
2026-06-30,RL-BRI,PT-5002,1156,156,269,0,23.70,27397.20
2026-06-30,RL-BRI,PT-5010,4547,0,0,0,9.05,41150.35
2026-06-30,RL-BRI,PT-5011,705,0,0,0,13.25,9341.25
2026-06-30,RL-BRI,DW-6001,501,57,150,91,64.10,32114.10
2026-06-30,RL-BRI,DW-6002,262,0,78,0,208.10,54522.20
2026-06-30,RL-BRI,DW-6010,340,0,0,0,224.60,76364.00
2026-06-30,RL-BRI,SX-7001,549,54,0,0,68.05,37359.45
2026-06-30,RL-BRI,SX-7010,1070,0,296,0,10.65,11395.50
2026-06-30,RL-BRI,TL-9001,1826,88,0,0,4.50,8217.00
2026-06-30,RL-BRI,TL-9002,1656,366,1194,106,6.40,10598.40
2026-06-30,RL-KPT,RM-1001,4382,816,837,0,2.86,12532.52
2026-06-30,RL-KPT,RM-1002,3908,799,0,0,4.95,19344.60
2026-06-30,RL-KPT,RM-1003,1219,258,0,0,8.25,10056.75
2026-06-30,RL-KPT,RM-1010,2876,0,0,0,13.50,38826.00
2026-06-30,RL-KPT,RM-1011,1074,0,328,0,17.95,19278.30
2026-06-30,RL-KPT,RM-1020,1332,0,0,0,4.05,5394.60
2026-06-30,RL-KPT,RM-1021,259,0,0,0,28.10,7277.90
2026-06-30,RL-KPT,RM-1022,1661,88,0,0,6.45,10713.45
2026-06-30,RL-KPT,FS-2001,812,75,0,204,20.60,16727.20
2026-06-30,RL-KPT,FS-2002,1412,0,0,99,23.60,33323.20
2026-06-30,RL-KPT,FS-2010,5328,0,0,0,1.33,7086.24
2026-06-30,RL-KPT,FS-2011,289,0,0,0,34.90,10086.10
2026-06-30,RL-KPT,CM-3001,3363,0,0,0,4.95,16646.85
2026-06-30,RL-KPT,CM-3002,1869,0,0,0,3.90,7289.10
2026-06-30,RL-KPT,CM-3010,685,0,0,0,9.30,6370.50
2026-06-30,RL-KPT,CM-3020,1053,0,299,133,10.25,10793.25
2026-06-30,RL-KPT,RF-4001,2676,0,0,296,27.90,74660.40
2026-06-30,RL-KPT,RF-4002,448,0,0,0,37.65,16867.20
2026-06-30,RL-KPT,RF-4010,1056,0,0,0,21.50,22704.00
2026-06-30,RL-KPT,RF-4011,265,0,0,0,78.85,20895.25
2026-06-30,RL-KPT,RF-4020,4188,0,0,0,1.69,7077.72
2026-06-30,RL-KPT,PT-5001,1729,269,448,160,32.20,55673.80
2026-06-30,RL-KPT,PT-5002,665,148,0,40,23.70,15760.50
2026-06-30,RL-KPT,PT-5010,2745,0,1022,0,9.05,24842.25
2026-06-30,RL-KPT,PT-5011,876,0,0,0,13.25,11607.00
2026-06-30,RL-KPT,DW-6001,381,0,0,61,64.10,24422.10
2026-06-30,RL-KPT,DW-6002,133,11,0,0,208.10,27677.30
2026-06-30,RL-KPT,DW-6010,300,0,0,0,224.60,67380.00
2026-06-30,RL-KPT,SX-7001,274,0,0,0,68.05,18645.70
2026-06-30,RL-KPT,SX-7010,1723,0,582,161,10.65,18349.95
2026-06-30,RL-KPT,TL-9001,2643,417,0,0,4.50,11893.50
2026-06-30,RL-KPT,TL-9002,1812,0,862,0,6.40,11596.80
2026-06-30,RL-JCB,RM-1001,4179,0,878,0,2.86,11951.94
2026-06-30,RL-JCB,RM-1002,1357,0,0,0,4.95,6717.15
2026-06-30,RL-JCB,RM-1003,565,0,0,0,8.25,4661.25
2026-06-30,RL-JCB,RM-1010,1211,0,0,0,13.50,16348.50
2026-06-30,RL-JCB,RM-1011,673,0,414,0,17.95,12080.35
2026-06-30,RL-JCB,RM-1020,839,0,449,147,4.05,3397.95
2026-06-30,RL-JCB,RM-1021,225,5,100,0,28.10,6322.50
2026-06-30,RL-JCB,RM-1022,1543,365,148,0,6.45,9952.35
2026-06-30,RL-JCB,FS-2001,558,0,418,83,20.60,11494.80
2026-06-30,RL-JCB,FS-2002,721,0,392,0,23.60,17015.60
2026-06-30,RL-JCB,FS-2010,3355,612,856,389,1.33,4462.15
2026-06-30,RL-JCB,FS-2011,260,11,0,0,34.90,9074.00
2026-06-30,RL-JCB,CM-3001,1539,332,0,0,4.95,7618.05
2026-06-30,RL-JCB,CM-3002,913,0,558,0,3.90,3560.70
2026-06-30,RL-JCB,CM-3010,579,0,0,0,9.30,5384.70
2026-06-30,RL-JCB,CM-3020,660,0,297,114,10.25,6765.00
2026-06-30,RL-JCB,RF-4001,2124,515,583,78,27.90,59259.60
2026-06-30,RL-JCB,RF-4002,569,132,221,0,37.65,21422.85
2026-06-30,RL-JCB,RF-4010,591,0,0,0,21.50,12706.50
2026-06-30,RL-JCB,RF-4011,445,0,0,15,78.85,35088.25
2026-06-30,RL-JCB,RF-4020,2166,228,0,0,1.69,3660.54
2026-06-30,RL-JCB,PT-5001,738,101,0,0,32.20,23763.60
2026-06-30,RL-JCB,PT-5002,362,81,0,0,23.70,8579.40
2026-06-30,RL-JCB,PT-5010,2067,0,723,326,9.05,18706.35
2026-06-30,RL-JCB,PT-5011,452,92,0,0,13.25,5989.00
2026-06-30,RL-JCB,DW-6001,161,27,0,0,64.10,10320.10
2026-06-30,RL-JCB,DW-6002,126,0,0,0,208.10,26220.60
2026-06-30,RL-JCB,DW-6010,152,0,0,25,224.60,34139.20
2026-06-30,RL-JCB,SX-7001,401,0,0,0,68.05,27288.05
2026-06-30,RL-JCB,SX-7010,1324,64,0,0,10.65,14100.60
2026-06-30,RL-JCB,TL-9001,1263,0,0,0,4.50,5683.50
2026-06-30,RL-JCB,TL-9002,1526,0,384,0,6.40,9766.40
2026-07-31,RL-BRI,RM-1001,7578,0,0,0,2.86,21673.08
2026-07-31,RL-BRI,RM-1002,2464,0,393,0,4.95,12196.80
2026-07-31,RL-BRI,RM-1003,1732,0,676,0,8.25,14289.00
2026-07-31,RL-BRI,RM-1010,3102,528,0,0,13.50,41877.00
2026-07-31,RL-BRI,RM-1011,1945,456,484,0,17.95,34912.75
2026-07-31,RL-BRI,RM-1020,867,0,127,0,4.05,3511.35
2026-07-31,RL-BRI,RM-1021,259,0,171,0,28.10,7277.90
2026-07-31,RL-BRI,RM-1022,1363,0,0,0,6.45,8791.35
2026-07-31,RL-BRI,FS-2001,844,209,0,0,20.60,17386.40
2026-07-31,RL-BRI,FS-2002,1574,29,0,0,23.60,37146.40
2026-07-31,RL-BRI,FS-2010,3706,0,1790,0,1.33,4928.98
2026-07-31,RL-BRI,FS-2011,500,74,0,0,34.90,17450.00
2026-07-31,RL-BRI,CM-3001,3626,0,1412,183,4.95,17948.70
2026-07-31,RL-BRI,CM-3002,2440,202,703,0,3.90,9516.00
2026-07-31,RL-BRI,CM-3010,858,0,0,0,9.30,7979.40
2026-07-31,RL-BRI,CM-3020,1229,0,168,0,10.25,12597.25
2026-07-31,RL-BRI,RF-4001,2606,0,0,0,27.90,72707.40
2026-07-31,RL-BRI,RF-4002,775,88,0,0,37.65,29178.75
2026-07-31,RL-BRI,RF-4010,1317,0,0,0,21.50,28315.50
2026-07-31,RL-BRI,RF-4011,444,99,0,0,78.85,35009.40
2026-07-31,RL-BRI,RF-4020,2938,0,0,522,1.69,4965.22
2026-07-31,RL-BRI,PT-5001,1180,0,0,194,32.20,37996.00
2026-07-31,RL-BRI,PT-5002,1226,163,145,0,23.70,29056.20
2026-07-31,RL-BRI,PT-5010,4426,0,0,530,9.05,40055.30
2026-07-31,RL-BRI,PT-5011,781,0,0,0,13.25,10348.25
2026-07-31,RL-BRI,DW-6001,584,0,0,61,64.10,37434.40
2026-07-31,RL-BRI,DW-6002,239,0,89,0,208.10,49735.90
2026-07-31,RL-BRI,DW-6010,294,0,0,0,224.60,66032.40
2026-07-31,RL-BRI,SX-7001,722,82,254,106,68.05,49132.10
2026-07-31,RL-BRI,SX-7010,1192,0,0,0,10.65,12694.80
2026-07-31,RL-BRI,TL-9001,2150,0,0,0,4.50,9675.00
2026-07-31,RL-BRI,TL-9002,1406,0,0,0,6.40,8998.40
2026-07-31,RL-KPT,RM-1001,3228,0,0,0,2.86,9232.08
2026-07-31,RL-KPT,RM-1002,3484,0,0,0,4.95,17245.80
2026-07-31,RL-KPT,RM-1003,1485,0,0,0,8.25,12251.25
2026-07-31,RL-KPT,RM-1010,1222,80,0,0,13.50,16497.00
2026-07-31,RL-KPT,RM-1011,873,0,0,0,17.95,15670.35
2026-07-31,RL-KPT,RM-1020,678,0,551,179,4.05,2745.90
2026-07-31,RL-KPT,RM-1021,235,0,125,0,28.10,6603.50
2026-07-31,RL-KPT,RM-1022,943,0,0,216,6.45,6082.35
2026-07-31,RL-KPT,FS-2001,1011,163,0,0,20.60,20826.60
2026-07-31,RL-KPT,FS-2002,1834,0,329,0,23.60,43282.40
2026-07-31,RL-KPT,FS-2010,5370,0,885,0,1.33,7142.10
2026-07-31,RL-KPT,FS-2011,224,0,0,0,34.90,7817.60
2026-07-31,RL-KPT,CM-3001,4057,488,0,323,4.95,20082.15
2026-07-31,RL-KPT,CM-3002,1597,0,156,0,3.90,6228.30
2026-07-31,RL-KPT,CM-3010,409,33,0,0,9.30,3803.70
2026-07-31,RL-KPT,CM-3020,658,120,415,0,10.25,6744.50
2026-07-31,RL-KPT,RF-4001,2249,0,0,0,27.90,62747.10
2026-07-31,RL-KPT,RF-4002,476,0,289,0,37.65,17921.40
2026-07-31,RL-KPT,RF-4010,1013,0,0,143,21.50,21779.50
2026-07-31,RL-KPT,RF-4011,487,43,0,0,78.85,38399.95
2026-07-31,RL-KPT,RF-4020,4342,642,0,454,1.69,7337.98
2026-07-31,RL-KPT,PT-5001,737,50,570,0,32.20,23731.40
2026-07-31,RL-KPT,PT-5002,850,35,166,0,23.70,20145.00
2026-07-31,RL-KPT,PT-5010,3084,45,1138,0,9.05,27910.20
2026-07-31,RL-KPT,PT-5011,894,99,126,0,13.25,11845.50
2026-07-31,RL-KPT,DW-6001,293,54,0,0,64.10,18781.30
2026-07-31,RL-KPT,DW-6002,131,0,0,0,208.10,27261.10
2026-07-31,RL-KPT,DW-6010,159,0,0,8,224.60,35711.40
2026-07-31,RL-KPT,SX-7001,637,0,0,0,68.05,43347.85
2026-07-31,RL-KPT,SX-7010,1193,41,0,0,10.65,12705.45
2026-07-31,RL-KPT,TL-9001,1317,0,479,0,4.50,5926.50
2026-07-31,RL-KPT,TL-9002,1189,0,831,0,6.40,7609.60
2026-07-31,RL-JCB,RM-1001,4031,0,0,63,2.86,11528.66
2026-07-31,RL-JCB,RM-1002,1647,84,0,0,4.95,8152.65
2026-07-31,RL-JCB,RM-1003,546,41,0,0,8.25,4504.50
2026-07-31,RL-JCB,RM-1010,1264,0,0,0,13.50,17064.00
2026-07-31,RL-JCB,RM-1011,902,0,0,0,17.95,16190.90
2026-07-31,RL-JCB,RM-1020,675,0,0,0,4.05,2733.75
2026-07-31,RL-JCB,RM-1021,263,0,81,0,28.10,7390.30
2026-07-31,RL-JCB,RM-1022,758,40,0,0,6.45,4889.10
2026-07-31,RL-JCB,FS-2001,1082,147,0,0,20.60,22289.20
2026-07-31,RL-JCB,FS-2002,677,34,482,69,23.60,15977.20
2026-07-31,RL-JCB,FS-2010,2100,4,732,0,1.33,2793.00
2026-07-31,RL-JCB,FS-2011,173,0,0,12,34.90,6037.70
2026-07-31,RL-JCB,CM-3001,2077,0,682,0,4.95,10281.15
2026-07-31,RL-JCB,CM-3002,1349,108,0,0,3.90,5261.10
2026-07-31,RL-JCB,CM-3010,459,43,0,0,9.30,4268.70
2026-07-31,RL-JCB,CM-3020,481,0,0,0,10.25,4930.25
2026-07-31,RL-JCB,RF-4001,1953,439,0,0,27.90,54488.70
