journal_no,line_no,entry_date,branch_code,account,description,debit_amt,credit_amt
JE-00004,16,2026-01-31,RL-BRI,6300,Utilities January,7200.0,0
JE-00004,17,2026-01-31,RL-BRI,1010,Utilities January,0,7200.0
JE-00004,18,2026-01-31,RL-BRI,6500,Supplies January,4200.0,0
JE-00004,19,2026-01-31,RL-BRI,1010,Supplies January,0,4200.0
JE-00004,20,2026-01-31,RL-BRI,6900,Distributions January,30000.0,0
JE-00004,21,2026-01-31,RL-BRI,1010,Distributions January,0,30000.0
JE-00005,1,2026-01-31,RL-KPT,1100,Sales accrual January,162258.66,0
JE-00005,2,2026-01-31,RL-KPT,4000,Sales accrual January,0,159824.78
JE-00005,3,2026-01-31,RL-KPT,4010,Freight recovered January,0,2433.88
JE-00005,4,2026-01-31,RL-KPT,5000,COGS January,122604.05,0
JE-00005,5,2026-01-31,RL-KPT,1200,COGS relief January,0,122604.05
JE-00005,6,2026-01-31,RL-KPT,1010,Customer collections January,157390.9,0
JE-00005,7,2026-01-31,RL-KPT,1100,Customer collections January,0,157390.9
JE-00005,8,2026-01-31,RL-KPT,1200,Inventory receipts January,97105.06,0
JE-00005,9,2026-01-31,RL-KPT,2000,Inventory receipts January,0,97105.06
JE-00005,10,2026-01-31,RL-KPT,2000,Vendor payments January,87394.55,0
JE-00005,11,2026-01-31,RL-KPT,1010,Vendor payments January,0,87394.55
JE-00005,12,2026-01-31,RL-KPT,6100,Payroll January,97500.0,0
JE-00005,13,2026-01-31,RL-KPT,1010,Payroll January,0,97500.0
JE-00005,14,2026-01-31,RL-KPT,6200,Rent January,19500.0,0
JE-00005,15,2026-01-31,RL-KPT,1010,Rent January,0,19500.0
JE-00005,16,2026-01-31,RL-KPT,6300,Utilities January,5400.0,0
JE-00005,17,2026-01-31,RL-KPT,1010,Utilities January,0,5400.0
JE-00005,18,2026-01-31,RL-KPT,6500,Supplies January,3150.0,0
JE-00005,19,2026-01-31,RL-KPT,1010,Supplies January,0,3150.0
JE-00005,20,2026-01-31,RL-KPT,6900,Distributions January,22500.0,0
JE-00005,21,2026-01-31,RL-KPT,1010,Distributions January,0,22500.0
JE-00006,1,2026-01-31,RL-JCB,1100,Sales accrual January,135497.43,0
JE-00006,2,2026-01-31,RL-JCB,4000,Sales accrual January,0,133464.97
JE-00006,3,2026-01-31,RL-JCB,4010,Freight recovered January,0,2032.46
JE-00006,4,2026-01-31,RL-JCB,5000,COGS January,96729.84,0
JE-00006,5,2026-01-31,RL-JCB,1200,COGS relief January,0,96729.84
JE-00006,6,2026-01-31,RL-JCB,1010,Customer collections January,131432.51,0
JE-00006,7,2026-01-31,RL-JCB,1100,Customer collections January,0,131432.51
JE-00006,8,2026-01-31,RL-JCB,1200,Inventory receipts January,70230.57,0
JE-00006,9,2026-01-31,RL-JCB,2000,Inventory receipts January,0,70230.57
JE-00006,10,2026-01-31,RL-JCB,2000,Vendor payments January,63207.51,0
JE-00006,11,2026-01-31,RL-JCB,1010,Vendor payments January,0,63207.51
JE-00006,12,2026-01-31,RL-JCB,6100,Payroll January,71500.0,0
JE-00006,13,2026-01-31,RL-JCB,1010,Payroll January,0,71500.0
JE-00006,14,2026-01-31,RL-JCB,6200,Rent January,14300.0,0
JE-00006,15,2026-01-31,RL-JCB,1010,Rent January,0,14300.0
JE-00006,16,2026-01-31,RL-JCB,6300,Utilities January,3960.0,0
JE-00006,17,2026-01-31,RL-JCB,1010,Utilities January,0,3960.0
JE-00006,18,2026-01-31,RL-JCB,6500,Supplies January,2310.0,0
JE-00006,19,2026-01-31,RL-JCB,1010,Supplies January,0,2310.0
JE-00006,20,2026-01-31,RL-JCB,6900,Distributions January,16500.0,0
JE-00006,21,2026-01-31,RL-JCB,1010,Distributions January,0,16500.0
JE-00007,1,2026-02-28,RL-BRI,1100,Sales accrual February,395995.44,0
JE-00007,2,2026-02-28,RL-BRI,4000,Sales accrual February,0,390055.51
JE-00007,3,2026-02-28,RL-BRI,4010,Freight recovered February,0,5939.93
JE-00007,4,2026-02-28,RL-BRI,5000,COGS February,290417.14,0
JE-00007,5,2026-02-28,RL-BRI,1200,COGS relief February,0,290417.14
JE-00007,6,2026-02-28,RL-BRI,1010,Customer collections February,384115.58,0
JE-00007,7,2026-02-28,RL-BRI,1100,Customer collections February,0,384115.58
JE-00007,8,2026-02-28,RL-BRI,1200,Inventory receipts February,104710.44,0
JE-00007,9,2026-02-28,RL-BRI,2000,Inventory receipts February,0,104710.44
JE-00007,10,2026-02-28,RL-BRI,2000,Vendor payments February,94239.4,0
JE-00007,11,2026-02-28,RL-BRI,1010,Vendor payments February,0,94239.4
JE-00007,12,2026-02-28,RL-BRI,6100,Payroll February,130000.0,0
JE-00007,13,2026-02-28,RL-BRI,1010,Payroll February,0,130000.0
JE-00007,14,2026-02-28,RL-BRI,6200,Rent February,26000.0,0
JE-00007,15,2026-02-28,RL-BRI,1010,Rent February,0,26000.0
JE-00007,16,2026-02-28,RL-BRI,6300,Utilities February,7200.0,0
JE-00007,17,2026-02-28,RL-BRI,1010,Utilities February,0,7200.0
JE-00007,18,2026-02-28,RL-BRI,6500,Supplies February,4200.0,0
JE-00007,19,2026-02-28,RL-BRI,1010,Supplies February,0,4200.0
JE-00007,20,2026-02-28,RL-BRI,6900,Distributions February,30000.0,0
JE-00007,21,2026-02-28,RL-BRI,1010,Distributions February,0,30000.0
JE-00008,1,2026-02-28,RL-KPT,1100,Sales accrual February,305630.18,0
JE-00008,2,2026-02-28,RL-KPT,4000,Sales accrual February,0,301045.73
JE-00008,3,2026-02-28,RL-KPT,4010,Freight recovered February,0,4584.45
JE-00008,4,2026-02-28,RL-KPT,5000,COGS February,221139.67,0
JE-00008,5,2026-02-28,RL-KPT,1200,COGS relief February,0,221139.67
JE-00008,6,2026-02-28,RL-KPT,1010,Customer collections February,296461.27,0
JE-00008,7,2026-02-28,RL-KPT,1100,Customer collections February,0,296461.27
JE-00008,8,2026-02-28,RL-KPT,1200,Inventory receipts February,62616.6,0
JE-00008,9,2026-02-28,RL-KPT,2000,Inventory receipts February,0,62616.6
JE-00008,10,2026-02-28,RL-KPT,2000,Vendor payments February,56354.94,0
JE-00008,11,2026-02-28,RL-KPT,1010,Vendor payments February,0,56354.94
JE-00008,12,2026-02-28,RL-KPT,6100,Payroll February,97500.0,0
JE-00008,13,2026-02-28,RL-KPT,1010,Payroll February,0,97500.0
JE-00008,14,2026-02-28,RL-KPT,6200,Rent February,19500.0,0
JE-00008,15,2026-02-28,RL-KPT,1010,Rent February,0,19500.0
JE-00008,16,2026-02-28,RL-KPT,6300,Utilities February,5400.0,0
JE-00008,17,2026-02-28,RL-KPT,1010,Utilities February,0,5400.0
JE-00008,18,2026-02-28,RL-KPT,6500,Supplies February,3150.0,0
JE-00008,19,2026-02-28,RL-KPT,1010,Supplies February,0,3150.0
JE-00008,20,2026-02-28,RL-KPT,6900,Distributions February,22500.0,0
JE-00008,21,2026-02-28,RL-KPT,1010,Distributions February,0,22500.0
JE-00009,1,2026-02-28,RL-JCB,1100,Sales accrual February,121055.62,0
JE-00009,2,2026-02-28,RL-JCB,4000,Sales accrual February,0,119239.79
JE-00009,3,2026-02-28,RL-JCB,4010,Freight recovered February,0,1815.83
JE-00009,4,2026-02-28,RL-JCB,5000,COGS February,87342.4,0
JE-00009,5,2026-02-28,RL-JCB,1200,COGS relief February,0,87342.4
JE-00009,6,2026-02-28,RL-JCB,1010,Customer collections February,117423.95,0
JE-00009,7,2026-02-28,RL-JCB,1100,Customer collections February,0,117423.95
JE-00009,8,2026-02-28,RL-JCB,1200,Inventory receipts February,53042.16,0
JE-00009,9,2026-02-28,RL-JCB,2000,Inventory receipts February,0,53042.16
JE-00009,10,2026-02-28,RL-JCB,2000,Vendor payments February,47737.94,0
JE-00009,11,2026-02-28,RL-JCB,1010,Vendor payments February,0,47737.94
JE-00009,12,2026-02-28,RL-JCB,6100,Payroll February,71500.0,0
JE-00009,13,2026-02-28,RL-JCB,1010,Payroll February,0,71500.0
JE-00009,14,2026-02-28,RL-JCB,6200,Rent February,14300.0,0
JE-00009,15,2026-02-28,RL-JCB,1010,Rent February,0,14300.0
JE-00009,16,2026-02-28,RL-JCB,6300,Utilities February,3960.0,0
JE-00009,17,2026-02-28,RL-JCB,1010,Utilities February,0,3960.0
JE-00009,18,2026-02-28,RL-JCB,6500,Supplies February,2310.0,0
JE-00009,19,2026-02-28,RL-JCB,1010,Supplies February,0,2310.0
JE-00009,20,2026-02-28,RL-JCB,6900,Distributions February,16500.0,0
JE-00009,21,2026-02-28,RL-JCB,1010,Distributions February,0,16500.0
JE-00010,1,2026-03-31,RL-BRI,1100,Sales accrual March,720866.03,0
JE-00010,2,2026-03-31,RL-BRI,4000,Sales accrual March,0,710053.04
JE-00010,3,2026-03-31,RL-BRI,4010,Freight recovered March,0,10812.99
JE-00010,4,2026-03-31,RL-BRI,5000,COGS March,523547.61,0
JE-00010,5,2026-03-31,RL-BRI,1200,COGS relief March,0,523547.61
JE-00010,6,2026-03-31,RL-BRI,1010,Customer collections March,699240.05,0
JE-00010,7,2026-03-31,RL-BRI,1100,Customer collections March,0,699240.05
JE-00010,8,2026-03-31,RL-BRI,1200,Inventory receipts March,87398.53,0
JE-00010,9,2026-03-31,RL-BRI,2000,Inventory receipts March,0,87398.53
JE-00010,10,2026-03-31,RL-BRI,2000,Vendor payments March,78658.68,0
JE-00010,11,2026-03-31,RL-BRI,1010,Vendor payments March,0,78658.68
JE-00010,12,2026-03-31,RL-BRI,6100,Payroll March,130000.0,0
JE-00010,13,2026-03-31,RL-BRI,1010,Payroll March,0,130000.0
JE-00010,14,2026-03-31,RL-BRI,6200,Rent March,26000.0,0
JE-00010,15,2026-03-31,RL-BRI,1010,Rent March,0,26000.0
JE-00010,16,2026-03-31,RL-BRI,6300,Utilities March,7200.0,0
JE-00010,17,2026-03-31,RL-BRI,1010,Utilities March,0,7200.0
JE-00010,18,2026-03-31,RL-BRI,6500,Supplies March,4200.0,0
JE-00010,19,2026-03-31,RL-BRI,1010,Supplies March,0,4200.0
JE-00010,20,2026-03-31,RL-BRI,6900,Distributions March,30000.0,0
JE-00010,21,2026-03-31,RL-BRI,1010,Distributions March,0,30000.0
JE-00011,1,2026-03-31,RL-BRI,6400,Insurance premium March,14500.0,0
JE-00011,2,2026-03-31,RL-BRI,1010,Insurance premium March,0,14500.0
JE-00012,1,2026-03-31,RL-KPT,1100,Sales accrual March,389492.41,0
JE-00012,2,2026-03-31,RL-KPT,4000,Sales accrual March,0,383650.02
JE-00012,3,2026-03-31,RL-KPT,4010,Freight recovered March,0,5842.39
JE-00012,4,2026-03-31,RL-KPT,5000,COGS March,280951.26,0
JE-00012,5,2026-03-31,RL-KPT,1200,COGS relief March,0,280951.26
JE-00012,6,2026-03-31,RL-KPT,1010,Customer collections March,377807.64,0
JE-00012,7,2026-03-31,RL-KPT,1100,Customer collections March,0,377807.64
JE-00012,8,2026-03-31,RL-KPT,1200,Inventory receipts March,53182.07,0
JE-00012,9,2026-03-31,RL-KPT,2000,Inventory receipts March,0,53182.07
JE-00012,10,2026-03-31,RL-KPT,2000,Vendor payments March,47863.86,0
JE-00012,11,2026-03-31,RL-KPT,1010,Vendor payments March,0,47863.86
JE-00012,12,2026-03-31,RL-KPT,6100,Payroll March,97500.0,0
JE-00012,13,2026-03-31,RL-KPT,1010,Payroll March,0,97500.0
JE-00012,14,2026-03-31,RL-KPT,6200,Rent March,19500.0,0
JE-00012,15,2026-03-31,RL-KPT,1010,Rent March,0,19500.0
JE-00012,16,2026-03-31,RL-KPT,6300,Utilities March,5400.0,0
JE-00012,17,2026-03-31,RL-KPT,1010,Utilities March,0,5400.0
JE-00012,18,2026-03-31,RL-KPT,6500,Supplies March,3150.0,0
JE-00012,19,2026-03-31,RL-KPT,1010,Supplies March,0,3150.0
JE-00012,20,2026-03-31,RL-KPT,6900,Distributions March,22500.0,0
JE-00012,21,2026-03-31,RL-KPT,1010,Distributions March,0,22500.0
JE-00013,1,2026-03-31,RL-KPT,6400,Insurance premium March,10875.0,0
JE-00013,2,2026-03-31,RL-KPT,1010,Insurance premium March,0,10875.0
JE-00014,1,2026-03-31,RL-JCB,1100,Sales accrual March,102141.07,0
JE-00014,2,2026-03-31,RL-JCB,4000,Sales accrual March,0,100608.95
JE-00014,3,2026-03-31,RL-JCB,4010,Freight recovered March,0,1532.12
JE-00014,4,2026-03-31,RL-JCB,5000,COGS March,76345.78,0
JE-00014,5,2026-03-31,RL-JCB,1200,COGS relief March,0,76345.78
JE-00014,6,2026-03-31,RL-JCB,1010,Customer collections March,99076.84,0
JE-00014,7,2026-03-31,RL-JCB,1100,Customer collections March,0,99076.84
JE-00014,8,2026-03-31,RL-JCB,1200,Inventory receipts March,69319.77,0
JE-00014,9,2026-03-31,RL-JCB,2000,Inventory receipts March,0,69319.77
JE-00014,10,2026-03-31,RL-JCB,2000,Vendor payments March,62387.79,0
JE-00014,11,2026-03-31,RL-JCB,1010,Vendor payments March,0,62387.79
JE-00014,12,2026-03-31,RL-JCB,6100,Payroll March,71500.0,0
JE-00014,13,2026-03-31,RL-JCB,1010,Payroll March,0,71500.0
JE-00014,14,2026-03-31,RL-JCB,6200,Rent March,14300.0,0
JE-00014,15,2026-03-31,RL-JCB,1010,Rent March,0,14300.0
JE-00014,16,2026-03-31,RL-JCB,6300,Utilities March,3960.0,0
JE-00014,17,2026-03-31,RL-JCB,1010,Utilities March,0,3960.0
JE-00014,18,2026-03-31,RL-JCB,6500,Supplies March,2310.0,0
JE-00014,19,2026-03-31,RL-JCB,1010,Supplies March,0,2310.0
JE-00014,20,2026-03-31,RL-JCB,6900,Distributions March,16500.0,0
JE-00014,21,2026-03-31,RL-JCB,1010,Distributions March,0,16500.0
JE-00015,1,2026-03-31,RL-JCB,6400,Insurance premium March,7975.0,0
JE-00015,2,2026-03-31,RL-JCB,1010,Insurance premium March,0,7975.0
JE-00016,1,2026-04-30,RL-BRI,1100,Sales accrual April,456469.93,0
JE-00016,2,2026-04-30,RL-BRI,4000,Sales accrual April,0,449622.88
JE-00016,3,2026-04-30,RL-BRI,4010,Freight recovered April,0,6847.05
JE-00016,4,2026-04-30,RL-BRI,5000,COGS April,329814.98,0
JE-00016,5,2026-04-30,RL-BRI,1200,COGS relief April,0,329814.98
JE-00016,6,2026-04-30,RL-BRI,1010,Customer collections April,442775.83,0
JE-00016,7,2026-04-30,RL-BRI,1100,Customer collections April,0,442775.83
JE-00016,8,2026-04-30,RL-BRI,1200,Inventory receipts April,120719.27,0
JE-00016,9,2026-04-30,RL-BRI,2000,Inventory receipts April,0,120719.27
JE-00016,10,2026-04-30,RL-BRI,2000,Vendor payments April,108647.34,0
JE-00016,11,2026-04-30,RL-BRI,1010,Vendor payments April,0,108647.34
JE-00016,12,2026-04-30,RL-BRI,6100,Payroll April,130000.0,0
JE-00016,13,2026-04-30,RL-BRI,1010,Payroll April,0,130000.0
JE-00016,14,2026-04-30,RL-BRI,6200,Rent April,26000.0,0
JE-00016,15,2026-04-30,RL-BRI,1010,Rent April,0,26000.0
JE-00016,16,2026-04-30,RL-BRI,6300,Utilities April,7200.0,0
JE-00016,17,2026-04-30,RL-BRI,1010,Utilities April,0,7200.0
JE-00016,18,2026-04-30,RL-BRI,6500,Supplies April,4200.0,0
JE-00016,19,2026-04-30,RL-BRI,1010,Supplies April,0,4200.0
JE-00016,20,2026-04-30,RL-BRI,6900,Distributions April,30000.0,0
JE-00016,21,2026-04-30,RL-BRI,1010,Distributions April,0,30000.0
JE-00017,1,2026-04-30,RL-KPT,1100,Sales accrual April,482066.93,0
JE-00017,2,2026-04-30,RL-KPT,4000,Sales accrual April,0,474835.93
JE-00017,3,2026-04-30,RL-KPT,4010,Freight recovered April,0,7231.0
JE-00017,4,2026-04-30,RL-KPT,5000,COGS April,347645.09,0
JE-00017,5,2026-04-30,RL-KPT,1200,COGS relief April,0,347645.09
JE-00017,6,2026-04-30,RL-KPT,1010,Customer collections April,467604.92,0
JE-00017,7,2026-04-30,RL-KPT,1100,Customer collections April,0,467604.92
JE-00017,8,2026-04-30,RL-KPT,1200,Inventory receipts April,128460.8,0
JE-00017,9,2026-04-30,RL-KPT,2000,Inventory receipts April,0,128460.8
JE-00017,10,2026-04-30,RL-KPT,2000,Vendor payments April,115614.72,0
JE-00017,11,2026-04-30,RL-KPT,1010,Vendor payments April,0,115614.72
JE-00017,12,2026-04-30,RL-KPT,6100,Payroll April,97500.0,0
JE-00017,13,2026-04-30,RL-KPT,1010,Payroll April,0,97500.0
JE-00017,14,2026-04-30,RL-KPT,6200,Rent April,19500.0,0
JE-00017,15,2026-04-30,RL-KPT,1010,Rent April,0,19500.0
JE-00017,16,2026-04-30,RL-KPT,6300,Utilities April,5400.0,0
JE-00017,17,2026-04-30,RL-KPT,1010,Utilities April,0,5400.0
JE-00017,18,2026-04-30,RL-KPT,6500,Supplies April,3150.0,0
JE-00017,19,2026-04-30,RL-KPT,1010,Supplies April,0,3150.0
JE-00017,20,2026-04-30,RL-KPT,6900,Distributions April,22500.0,0
JE-00017,21,2026-04-30,RL-KPT,1010,Distributions April,0,22500.0
JE-00018,1,2026-04-30,RL-JCB,1100,Sales accrual April,226252.66,0
JE-00018,2,2026-04-30,RL-JCB,4000,Sales accrual April,0,222858.87
JE-00018,3,2026-04-30,RL-JCB,4010,Freight recovered April,0,3393.79
JE-00018,4,2026-04-30,RL-JCB,5000,COGS April,161311.56,0
JE-00018,5,2026-04-30,RL-JCB,1200,COGS relief April,0,161311.56
JE-00018,6,2026-04-30,RL-JCB,1010,Customer collections April,219465.08,0
JE-00018,7,2026-04-30,RL-JCB,1100,Customer collections April,0,219465.08
JE-00018,8,2026-04-30,RL-JCB,1200,Inventory receipts April,76760.49,0
JE-00018,9,2026-04-30,RL-JCB,2000,Inventory receipts April,0,76760.49
JE-00018,10,2026-04-30,RL-JCB,2000,Vendor payments April,69084.44,0
JE-00018,11,2026-04-30,RL-JCB,1010,Vendor payments April,0,69084.44
JE-00018,12,2026-04-30,RL-JCB,6100,Payroll April,71500.0,0
JE-00018,13,2026-04-30,RL-JCB,1010,Payroll April,0,71500.0
JE-00018,14,2026-04-30,RL-JCB,6200,Rent April,14300.0,0
JE-00018,15,2026-04-30,RL-JCB,1010,Rent April,0,14300.0
JE-00018,16,2026-04-30,RL-JCB,6300,Utilities April,3960.0,0
JE-00018,17,2026-04-30,RL-JCB,1010,Utilities April,0,3960.0
JE-00018,18,2026-04-30,RL-JCB,6500,Supplies April,2310.0,0
JE-00018,19,2026-04-30,RL-JCB,1010,Supplies April,0,2310.0
JE-00018,20,2026-04-30,RL-JCB,6900,Distributions April,16500.0,0
JE-00018,21,2026-04-30,RL-JCB,1010,Distributions April,0,16500.0
JE-00019,1,2026-05-31,RL-BRI,1100,Sales accrual May,743939.8,0
JE-00019,2,2026-05-31,RL-BRI,4000,Sales accrual May,0,732780.7
JE-00019,3,2026-05-31,RL-BRI,4010,Freight recovered May,0,11159.1
JE-00019,4,2026-05-31,RL-BRI,5000,COGS May,546827.74,0
JE-00019,5,2026-05-31,RL-BRI,1200,COGS relief May,0,546827.74
JE-00019,6,2026-05-31,RL-BRI,1010,Customer collections May,721621.61,0
JE-00019,7,2026-05-31,RL-BRI,1100,Customer collections May,0,721621.61
JE-00019,8,2026-05-31,RL-BRI,1200,Inventory receipts May,104385.63,0
JE-00019,9,2026-05-31,RL-BRI,2000,Inventory receipts May,0,104385.63
JE-00019,10,2026-05-31,RL-BRI,2000,Vendor payments May,93947.07,0
JE-00019,11,2026-05-31,RL-BRI,1010,Vendor payments May,0,93947.07
JE-00019,12,2026-05-31,RL-BRI,6100,Payroll May,130000.0,0
JE-00019,13,2026-05-31,RL-BRI,1010,Payroll May,0,130000.0
JE-00019,14,2026-05-31,RL-BRI,6200,Rent May,26000.0,0
JE-00019,15,2026-05-31,RL-BRI,1010,Rent May,0,26000.0
JE-00019,16,2026-05-31,RL-BRI,6300,Utilities May,7200.0,0
JE-00019,17,2026-05-31,RL-BRI,1010,Utilities May,0,7200.0
JE-00019,18,2026-05-31,RL-BRI,6500,Supplies May,4200.0,0
JE-00019,19,2026-05-31,RL-BRI,1010,Supplies May,0,4200.0
JE-00019,20,2026-05-31,RL-BRI,6900,Distributions May,30000.0,0
JE-00019,21,2026-05-31,RL-BRI,1010,Distributions May,0,30000.0
JE-00020,1,2026-05-31,RL-KPT,1100,Sales accrual May,397504.11,0
JE-00020,2,2026-05-31,RL-KPT,4000,Sales accrual May,0,391541.55
JE-00020,3,2026-05-31,RL-KPT,4010,Freight recovered May,0,5962.56
JE-00020,4,2026-05-31,RL-KPT,5000,COGS May,282646.19,0
JE-00020,5,2026-05-31,RL-KPT,1200,COGS relief May,0,282646.19
JE-00020,6,2026-05-31,RL-KPT,1010,Customer collections May,385578.99,0
JE-00020,7,2026-05-31,RL-KPT,1100,Customer collections May,0,385578.99
JE-00020,8,2026-05-31,RL-KPT,1200,Inventory receipts May,68096.18,0
JE-00020,9,2026-05-31,RL-KPT,2000,Inventory receipts May,0,68096.18
JE-00020,10,2026-05-31,RL-KPT,2000,Vendor payments May,61286.56,0
JE-00020,11,2026-05-31,RL-KPT,1010,Vendor payments May,0,61286.56
JE-00020,12,2026-05-31,RL-KPT,6100,Payroll May,97500.0,0
JE-00020,13,2026-05-31,RL-KPT,1010,Payroll May,0,97500.0
JE-00020,14,2026-05-31,RL-KPT,6200,Rent May,19500.0,0
JE-00020,15,2026-05-31,RL-KPT,1010,Rent May,0,19500.0
JE-00020,16,2026-05-31,RL-KPT,6300,Utilities May,5400.0,0
JE-00020,17,2026-05-31,RL-KPT,1010,Utilities May,0,5400.0
JE-00020,18,2026-05-31,RL-KPT,6500,Supplies May,3150.0,0
JE-00020,19,2026-05-31,RL-KPT,1010,Supplies May,0,3150.0
JE-00020,20,2026-05-31,RL-KPT,6900,Distributions May,22500.0,0
JE-00020,21,2026-05-31,RL-KPT,1010,Distributions May,0,22500.0
JE-00021,1,2026-05-31,RL-JCB,1100,Sales accrual May,175416.45,0
JE-00021,2,2026-05-31,RL-JCB,4000,Sales accrual May,0,172785.2
JE-00021,3,2026-05-31,RL-JCB,4010,Freight recovered May,0,2631.25
JE-00021,4,2026-05-31,RL-JCB,5000,COGS May,131131.88,0
JE-00021,5,2026-05-31,RL-JCB,1200,COGS relief May,0,131131.88
JE-00021,6,2026-05-31,RL-JCB,1010,Customer collections May,170153.96,0
JE-00021,7,2026-05-31,RL-JCB,1100,Customer collections May,0,170153.96
JE-00021,8,2026-05-31,RL-JCB,1200,Inventory receipts May,51205.46,0
JE-00021,9,2026-05-31,RL-JCB,2000,Inventory receipts May,0,51205.46
JE-00021,10,2026-05-31,RL-JCB,2000,Vendor payments May,46084.91,0
JE-00021,11,2026-05-31,RL-JCB,1010,Vendor payments May,0,46084.91
JE-00021,12,2026-05-31,RL-JCB,6100,Payroll May,71500.0,0
JE-00021,13,2026-05-31,RL-JCB,1010,Payroll May,0,71500.0
JE-00021,14,2026-05-31,RL-JCB,6200,Rent May,14300.0,0
JE-00021,15,2026-05-31,RL-JCB,1010,Rent May,0,14300.0
JE-00021,16,2026-05-31,RL-JCB,6300,Utilities May,3960.0,0
JE-00021,17,2026-05-31,RL-JCB,1010,Utilities May,0,3960.0
JE-00021,18,2026-05-31,RL-JCB,6500,Supplies May,2310.0,0
JE-00021,19,2026-05-31,RL-JCB,1010,Supplies May,0,2310.0
JE-00021,20,2026-05-31,RL-JCB,6900,Distributions May,16500.0,0
JE-00021,21,2026-05-31,RL-JCB,1010,Distributions May,0,16500.0
JE-00022,1,2026-06-30,RL-BRI,1100,Sales accrual June,502253.84,0
JE-00022,2,2026-06-30,RL-BRI,4000,Sales accrual June,0,494720.03
JE-00022,3,2026-06-30,RL-BRI,4010,Freight recovered June,0,7533.81
JE-00022,4,2026-06-30,RL-BRI,5000,COGS June,364664.55,0
JE-00022,5,2026-06-30,RL-BRI,1200,COGS relief June,0,364664.55
JE-00022,6,2026-06-30,RL-BRI,1010,Customer collections June,487186.22,0
JE-00022,7,2026-06-30,RL-BRI,1100,Customer collections June,0,487186.22
JE-00022,8,2026-06-30,RL-BRI,1200,Inventory receipts June,166976.89,0
JE-00022,9,2026-06-30,RL-BRI,2000,Inventory receipts June,0,166976.89
JE-00022,10,2026-06-30,RL-BRI,2000,Vendor payments June,150279.2,0
JE-00022,11,2026-06-30,RL-BRI,1010,Vendor payments June,0,150279.2
JE-00022,12,2026-06-30,RL-BRI,6100,Payroll June,130000.0,0
JE-00022,13,2026-06-30,RL-BRI,1010,Payroll June,0,130000.0
JE-00022,14,2026-06-30,RL-BRI,6200,Rent June,26000.0,0
JE-00022,15,2026-06-30,RL-BRI,1010,Rent June,0,26000.0
JE-00022,16,2026-06-30,RL-BRI,6300,Utilities June,7200.0,0
JE-00022,17,2026-06-30,RL-BRI,1010,Utilities June,0,7200.0
JE-00022,18,2026-06-30,RL-BRI,6500,Supplies June,4200.0,0
JE-00022,19,2026-06-30,RL-BRI,1010,Supplies June,0,4200.0
JE-00022,20,2026-06-30,RL-BRI,6900,Distributions June,30000.0,0
JE-00022,21,2026-06-30,RL-BRI,1010,Distributions June,0,30000.0
JE-00023,1,2026-06-30,RL-BRI,6400,Insurance premium June,14500.0,0
JE-00023,2,2026-06-30,RL-BRI,1010,Insurance premium June,0,14500.0
