po_no,line_no,po_date,vendor_no,branch_code,item_no,uom,ordered_qty,received_qty,unit_cost_actual,unit_cost_standard,received_date
PO-20017,1,2026-02-16,VN-005,RL-JCB,PT-5010,EA,5,5,9.08,9.05,2026-02-23
PO-20017,2,2026-02-16,VN-005,RL-JCB,TL-9001,EA,5,5,4.55,4.50,2026-02-24
PO-20017,3,2026-02-16,VN-005,RL-JCB,PT-5002,EA,5,5,24.79,23.70,2026-02-20
PO-20018,1,2026-02-23,VN-001,RL-BRI,RM-1020,EA,9,9,4.04,4.05,2026-03-03
PO-20018,2,2026-02-23,VN-001,RL-BRI,RM-1010,EA,13,11,13.87,13.50,2026-02-27
PO-20019,1,2026-02-23,VN-002,RL-KPT,FS-2011,EA,5,5,35.41,34.90,2026-02-25
PO-20019,2,2026-02-23,VN-002,RL-KPT,FS-2002,BX,5,4,23.12,23.60,2026-03-01
PO-20020,1,2026-02-23,VN-008,RL-JCB,SX-7010,EA,5,5,11.45,10.65,2026-03-02
PO-20020,2,2026-02-23,VN-008,RL-JCB,SX-7001,SQ,5,5,70.02,68.05,2026-03-04
PO-20021,1,2026-03-02,VN-008,RL-BRI,SX-7010,EA,5,5,10.59,10.65,2026-03-06
PO-20021,2,2026-03-02,VN-008,RL-BRI,SX-7001,SQ,5,5,69.95,68.05,2026-03-05
PO-20023,1,2026-03-02,VN-003,RL-JCB,CM-3020,EA,5,5,11.00,10.25,2026-03-07
PO-20023,2,2026-03-02,VN-003,RL-JCB,CM-3001,BG,10,9,5.21,4.95,2026-03-11
PO-20023,3,2026-03-02,VN-003,RL-JCB,CM-3010,BG,5,5,9.68,9.30,2026-03-09
PO-20024,1,2026-03-16,VN-004,RL-BRI,RF-4020,LF,15,8,1.69,1.69,2026-03-19
PO-20024,2,2026-03-16,VN-004,RL-BRI,RF-4002,BNDL,5,5,38.03,37.65,2026-03-25
PO-20024,3,2026-03-16,VN-004,RL-BRI,RF-4001,BNDL,14,0,26.75,27.90,2026-03-22
PO-20024,4,2026-03-16,VN-004,RL-BRI,RF-4011,RL,5,5,82.20,78.85,2026-03-22
PO-20025,1,2026-03-16,VN-001,RL-KPT,RM-1010,EA,7,7,13.81,13.50,2026-03-25
PO-20025,2,2026-03-16,VN-001,RL-KPT,RM-1002,EA,16,0,5.34,4.95,2026-03-25
PO-20025,3,2026-03-16,VN-001,RL-KPT,RM-1020,EA,5,5,4.35,4.05,2026-03-21
PO-20026,1,2026-03-16,VN-002,RL-JCB,FS-2001,BX,5,5,21.69,20.60,2026-03-21
PO-20026,2,2026-03-16,VN-002,RL-JCB,FS-2010,EA,10,4,1.30,1.33,2026-03-22
PO-20026,3,2026-03-16,VN-002,RL-JCB,FS-2011,EA,5,5,33.51,34.90,2026-03-24
PO-20027,1,2026-03-23,VN-003,RL-BRI,CM-3020,EA,5,2,10.35,10.25,2026-03-29
PO-20027,2,2026-03-23,VN-003,RL-BRI,CM-3010,BG,5,5,9.03,9.30,2026-03-29
PO-20027,3,2026-03-23,VN-003,RL-BRI,CM-3001,BG,12,0,4.74,4.95,2026-03-26
PO-20028,1,2026-03-23,VN-008,RL-KPT,SX-7001,SQ,5,5,70.21,68.05,2026-03-25
PO-20028,2,2026-03-23,VN-008,RL-KPT,SX-7010,EA,5,5,10.97,10.65,2026-03-30
PO-20030,1,2026-03-30,VN-001,RL-JCB,RM-1003,EA,5,5,8.85,8.25,2026-04-03
PO-20030,2,2026-03-30,VN-001,RL-JCB,RM-1010,EA,6,5,12.97,13.50,2026-04-06
PO-20030,3,2026-03-30,VN-001,RL-JCB,RM-1001,EA,14,14,2.92,2.86,2026-04-07
PO-20030,4,2026-03-30,VN-001,RL-JCB,RM-1020,EA,5,5,4.21,4.05,2026-04-07
PO-20031,1,2026-04-06,VN-002,RL-BRI,FS-2011,EA,5,3,33.41,34.90,2026-04-11
PO-20031,2,2026-04-06,VN-002,RL-BRI,FS-2001,BX,5,5,20.85,20.60,2026-04-11
PO-20032,1,2026-04-06,VN-004,RL-KPT,RF-4002,BNDL,5,4,38.26,37.65,2026-04-08
PO-20032,2,2026-04-06,VN-004,RL-KPT,RF-4010,RL,5,5,21.96,21.50,2026-04-14
PO-20033,1,2026-04-06,VN-001,RL-JCB,RM-1010,EA,7,7,13.85,13.50,2026-04-09
PO-20033,2,2026-04-06,VN-001,RL-JCB,RM-1011,EA,5,2,17.41,17.95,2026-04-11
PO-20034,1,2026-04-13,VN-005,RL-BRI,TL-9001,EA,6,6,4.47,4.50,2026-04-19
PO-20034,2,2026-04-13,VN-005,RL-BRI,PT-5010,EA,8,8,9.36,9.05,2026-04-16
PO-20034,3,2026-04-13,VN-005,RL-BRI,PT-5011,BG,5,5,12.94,13.25,2026-04-21
PO-20035,1,2026-04-13,VN-007,RL-KPT,DW-6010,EA,5,5,237.69,224.60,2026-04-19
PO-20035,2,2026-04-13,VN-007,RL-KPT,DW-6001,EA,5,4,64.76,64.10,2026-04-20
PO-20036,1,2026-04-13,VN-004,RL-JCB,RF-4010,RL,5,5,22.83,21.50,2026-04-17
PO-20036,2,2026-04-13,VN-004,RL-JCB,RF-4002,BNDL,5,0,39.29,37.65,2026-04-21
PO-20036,3,2026-04-13,VN-004,RL-JCB,RF-4020,LF,8,8,1.81,1.69,2026-04-17
PO-20036,4,2026-04-13,VN-004,RL-JCB,RF-4001,BNDL,6,6,26.79,27.90,2026-04-18
PO-20037,1,2026-04-20,VN-001,RL-BRI,RM-1001,EA,19,19,2.83,2.86,2026-04-22
PO-20037,2,2026-04-20,VN-001,RL-BRI,RM-1021,EA,5,5,27.05,28.10,2026-04-24
PO-20038,1,2026-04-20,VN-004,RL-KPT,RF-4010,RL,5,5,22.94,21.50,2026-04-22
PO-20038,2,2026-04-20,VN-004,RL-KPT,RF-4001,BNDL,7,7,26.94,27.90,2026-04-25
PO-20038,3,2026-04-20,VN-004,RL-KPT,RF-4002,BNDL,5,0,40.08,37.65,2026-04-22
PO-20039,1,2026-04-27,VN-002,RL-BRI,FS-2002,BX,7,7,23.25,23.60,2026-05-03
PO-20039,2,2026-04-27,VN-002,RL-BRI,FS-2011,EA,5,5,34.13,34.90,2026-05-01
PO-20040,1,2026-04-27,VN-007,RL-KPT,DW-6001,EA,5,5,69.00,64.10,2026-05-01
PO-20040,2,2026-04-27,VN-007,RL-KPT,DW-6002,EA,5,5,223.65,208.10,2026-04-30
PO-20041,1,2026-05-04,VN-008,RL-BRI,SX-7010,EA,5,0,10.44,10.65,2026-05-09
PO-20041,2,2026-05-04,VN-008,RL-BRI,SX-7001,SQ,5,5,72.38,68.05,2026-05-06
PO-20042,1,2026-05-04,VN-008,RL-JCB,SX-7001,SQ,5,5,71.91,68.05,2026-05-13
PO-20042,2,2026-05-04,VN-008,RL-JCB,SX-7010,EA,5,5,11.12,10.65,2026-05-11
PO-20044,1,2026-05-11,VN-007,RL-KPT,DW-6010,EA,5,0,217.68,224.60,2026-05-17
PO-20044,2,2026-05-11,VN-007,RL-KPT,DW-6002,EA,5,4,207.44,208.10,2026-05-19
PO-20045,1,2026-05-11,VN-005,RL-JCB,PT-5010,EA,5,5,9.64,9.05,2026-05-15
PO-20045,2,2026-05-11,VN-005,RL-JCB,TL-9002,EA,5,4,6.58,6.40,2026-05-15
PO-20046,1,2026-05-18,VN-003,RL-BRI,CM-3002,BG,9,8,3.97,3.90,2026-05-20
PO-20046,2,2026-05-18,VN-003,RL-BRI,CM-3001,BG,16,16,5.18,4.95,2026-05-22
PO-20046,3,2026-05-18,VN-003,RL-BRI,CM-3020,EA,5,3,10.71,10.25,2026-05-25
PO-20046,4,2026-05-18,VN-003,RL-BRI,CM-3010,BG,5,5,9.47,9.30,2026-05-26
PO-20048,1,2026-05-25,VN-002,RL-BRI,FS-2011,EA,5,2,37.21,34.90,2026-05-27
PO-20048,2,2026-05-25,VN-002,RL-BRI,FS-2001,BX,6,4,21.43,20.60,2026-05-28
PO-20049,1,2026-05-25,VN-007,RL-KPT,DW-6001,EA,5,5,62.62,64.10,2026-05-28
PO-20049,2,2026-05-25,VN-007,RL-KPT,DW-6010,EA,5,5,220.77,224.60,2026-05-28
PO-20049,3,2026-05-25,VN-007,RL-KPT,DW-6002,EA,5,5,215.59,208.10,2026-06-01
PO-20050,1,2026-05-25,VN-005,RL-JCB,PT-5011,BG,5,5,13.68,13.25,2026-06-03
PO-20050,2,2026-05-25,VN-005,RL-JCB,PT-5010,EA,5,5,9.19,9.05,2026-05-27
PO-20050,3,2026-05-25,VN-005,RL-JCB,PT-5002,EA,5,5,25.17,23.70,2026-06-03
PO-20051,1,2026-06-01,VN-002,RL-BRI,FS-2010,EA,26,26,1.39,1.33,2026-06-10
PO-20051,2,2026-06-01,VN-002,RL-BRI,FS-2011,EA,5,5,33.53,34.90,2026-06-04
PO-20051,3,2026-06-01,VN-002,RL-BRI,FS-2002,BX,6,5,23.59,23.60,2026-06-10
PO-20052,1,2026-06-01,VN-008,RL-KPT,SX-7010,EA,5,3,10.25,10.65,2026-06-09
PO-20052,2,2026-06-01,VN-008,RL-KPT,SX-7001,SQ,5,5,72.92,68.05,2026-06-03
PO-20053,1,2026-06-01,VN-003,RL-JCB,CM-3010,BG,5,5,9.14,9.30,2026-06-03
PO-20053,2,2026-06-01,VN-003,RL-JCB,CM-3020,EA,5,5,10.94,10.25,2026-06-05
PO-20053,3,2026-06-01,VN-003,RL-JCB,CM-3002,BG,5,5,4.01,3.90,2026-06-07
PO-20054,1,2026-06-08,VN-003,RL-BRI,CM-3002,BG,7,7,4.10,3.90,2026-06-12
PO-20054,2,2026-06-08,VN-003,RL-BRI,CM-3020,EA,5,5,10.89,10.25,2026-06-15
PO-20055,1,2026-06-08,VN-008,RL-KPT,SX-7010,EA,5,5,10.72,10.65,2026-06-10
PO-20055,2,2026-06-08,VN-008,RL-KPT,SX-7001,SQ,5,5,70.91,68.05,2026-06-10
PO-20056,1,2026-06-15,VN-002,RL-BRI,FS-2011,EA,5,2,34.35,34.90,2026-06-18
PO-20056,2,2026-06-15,VN-002,RL-BRI,FS-2001,BX,6,6,20.93,20.60,2026-06-23
PO-20056,3,2026-06-15,VN-002,RL-BRI,FS-2002,BX,5,2,22.92,23.60,2026-06-17
PO-20057,1,2026-06-15,VN-004,RL-KPT,RF-4020,LF,9,9,1.73,1.69,2026-06-19
PO-20057,2,2026-06-15,VN-004,RL-KPT,RF-4010,RL,5,5,20.84,21.50,2026-06-20
PO-20057,3,2026-06-15,VN-004,RL-KPT,RF-4011,RL,5,2,80.14,78.85,2026-06-17
PO-20058,1,2026-06-15,VN-005,RL-JCB,TL-9001,EA,5,5,4.74,4.50,2026-06-24
PO-20058,2,2026-06-15,VN-005,RL-JCB,PT-5001,EA,5,5,31.49,32.20,2026-06-24
PO-20058,3,2026-06-15,VN-005,RL-JCB,PT-5010,EA,5,5,8.77,9.05,2026-06-18
PO-20058,4,2026-06-15,VN-005,RL-JCB,TL-9002,EA,5,5,6.48,6.40,2026-06-18
PO-20059,1,2026-06-22,VN-003,RL-KPT,CM-3020,EA,5,5,10.28,10.25,2026-06-28
PO-20059,2,2026-06-22,VN-003,RL-KPT,CM-3010,BG,5,5,9.78,9.30,2026-06-29
PO-20061,1,2026-06-29,VN-004,RL-BRI,RF-4002,BNDL,5,2,38.20,37.65,2026-07-05
PO-20061,2,2026-06-29,VN-004,RL-BRI,RF-4011,RL,5,5,75.59,78.85,2026-07-07
PO-20061,3,2026-06-29,VN-004,RL-BRI,RF-4010,RL,5,2,21.46,21.50,2026-07-01
PO-20061,4,2026-06-29,VN-004,RL-BRI,RF-4020,LF,13,13,1.67,1.69,2026-07-06
PO-20063,1,2026-07-06,VN-008,RL-BRI,SX-7001,SQ,5,5,69.36,68.05,2026-07-13
PO-20063,2,2026-07-06,VN-008,RL-BRI,SX-7010,EA,5,5,11.41,10.65,2026-07-12
PO-20064,1,2026-07-06,VN-004,RL-JCB,RF-4010,RL,5,0,22.73,21.50,2026-07-11
PO-20064,2,2026-07-06,VN-004,RL-JCB,RF-4002,BNDL,5,5,38.69,37.65,2026-07-12
PO-20064,3,2026-07-06,VN-004,RL-JCB,RF-4020,LF,9,9,1.78,1.69,2026-07-10
PO-20065,1,2026-07-13,VN-004,RL-BRI,RF-4010,RL,5,5,22.21,21.50,2026-07-19
PO-20065,2,2026-07-13,VN-004,RL-BRI,RF-4020,LF,12,10,1.80,1.69,2026-07-17
PO-20065,3,2026-07-13,VN-004,RL-BRI,RF-4001,BNDL,13,13,28.26,27.90,2026-07-21
PO-20065,4,2026-07-13,VN-004,RL-BRI,RF-4002,BNDL,5,5,36.48,37.65,2026-07-20
PO-20066,1,2026-07-13,VN-005,RL-KPT,PT-5011,BG,5,5,13.99,13.25,2026-07-18
PO-20066,2,2026-07-13,VN-005,RL-KPT,TL-9001,EA,5,5,4.57,4.50,2026-07-19
PO-20067,1,2026-07-13,VN-005,RL-JCB,PT-5011,BG,5,5,13.13,13.25,2026-07-21
PO-20067,2,2026-07-13,VN-005,RL-JCB,TL-9002,EA,5,5,6.11,6.40,2026-07-15
PO-20068,1,2026-07-20,VN-002,RL-BRI,FS-2010,EA,15,10,1.28,1.33,2026-07-22
PO-20068,2,2026-07-20,VN-002,RL-BRI,FS-2001,BX,6,3,20.19,20.60,2026-07-25
PO-20068,3,2026-07-20,VN-002,RL-BRI,FS-2011,EA,5,5,37.36,34.90,2026-07-26
PO-20068,4,2026-07-20,VN-002,RL-BRI,FS-2002,BX,5,5,24.12,23.60,2026-07-22
PO-20069,1,2026-07-20,VN-004,RL-KPT,RF-4011,RL,5,5,75.84,78.85,2026-07-24
PO-20069,2,2026-07-20,VN-004,RL-KPT,RF-4002,BNDL,5,0,39.73,37.65,2026-07-26
PO-20070,1,2026-07-20,VN-004,RL-JCB,RF-4002,BNDL,5,4,36.29,37.65,2026-07-26
PO-20070,2,2026-07-20,VN-004,RL-JCB,RF-4020,LF,7,7,1.70,1.69,2026-07-28
PO-20070,3,2026-07-20,VN-004,RL-JCB,RF-4011,RL,5,3,79.44,78.85,2026-07-29
PO-20071,1,2026-07-27,VN-007,RL-BRI,DW-6002,EA,5,5,219.06,208.10,2026-08-04
PO-20071,2,2026-07-27,VN-007,RL-BRI,DW-6001,EA,5,5,65.12,64.10,2026-08-05
PO-20071,3,2026-07-27,VN-007,RL-BRI,DW-6010,EA,5,5,224.26,224.60,2026-08-01
PO-20072,1,2026-07-27,VN-007,RL-KPT,DW-6002,EA,5,5,204.42,208.10,2026-08-02
PO-20072,2,2026-07-27,VN-007,RL-KPT,DW-6001,EA,5,5,68.90,64.10,2026-08-05
PO-20073,1,2026-07-27,VN-004,RL-JCB,RF-4001,BNDL,5,5,26.58,27.90,2026-08-04
PO-20073,2,2026-07-27,VN-004,RL-JCB,RF-4011,RL,5,5,75.82,78.85,2026-08-04
PO-20073,3,2026-07-27,VN-004,RL-JCB,RF-4010,RL,5,5,22.97,21.50,2026-08-03
PO-20073,4,2026-07-27,VN-004,RL-JCB,RF-4020,LF,7,7,1.79,1.69,2026-08-01
PO-20074,1,2026-08-03,VN-004,RL-BRI,RF-4011,RL,5,5,75.85,78.85,2026-08-07
PO-20074,2,2026-08-03,VN-004,RL-BRI,RF-4010,RL,5,5,21.89,21.50,2026-08-06
PO-20075,1,2026-08-03,VN-003,RL-KPT,CM-3002,BG,7,7,3.86,3.90,2026-08-11
PO-20075,2,2026-08-03,VN-003,RL-KPT,CM-3020,EA,5,5,10.56,10.25,2026-08-06
PO-20075,3,2026-08-03,VN-003,RL-KPT,CM-3010,BG,5,4,9.18,9.30,2026-08-07
PO-20076,1,2026-08-03,VN-007,RL-JCB,DW-6001,EA,5,5,61.46,64.10,2026-08-06
PO-20076,2,2026-08-03,VN-007,RL-JCB,DW-6010,EA,5,2,236.12,224.60,2026-08-06
PO-20078,1,2026-08-10,VN-003,RL-KPT,CM-3001,BG,14,9,5.02,4.95,2026-08-12
PO-20078,2,2026-08-10,VN-003,RL-KPT,CM-3002,BG,7,7,3.73,3.90,2026-08-14
PO-20079,1,2026-08-10,VN-003,RL-JCB,CM-3010,BG,5,5,9.05,9.30,2026-08-19
PO-20079,2,2026-08-10,VN-003,RL-JCB,CM-3020,EA,5,5,9.83,10.25,2026-08-12
PO-20080,1,2026-08-17,VN-001,RL-BRI,RM-1022,EA,11,0,6.46,6.45,
PO-20080,2,2026-08-17,VN-001,RL-BRI,RM-1011,EA,9,0,17.99,17.95,
PO-20080,3,2026-08-17,VN-001,RL-BRI,RM-1010,EA,13,0,14.51,13.50,
PO-20081,1,2026-08-17,VN-007,RL-JCB,DW-6010,EA,5,0,227.96,224.60,
PO-20081,2,2026-08-17,VN-007,RL-JCB,DW-6002,EA,5,0,203.29,208.10,
PO-20081,3,2026-08-17,VN-007,RL-JCB,DW-6001,EA,5,0,63.96,64.10,
PO-20082,1,2026-08-24,VN-007,RL-BRI,DW-6002,EA,5,0,210.88,208.10,
PO-20082,2,2026-08-24,VN-007,RL-BRI,DW-6010,EA,5,0,219.66,224.60,
PO-20082,3,2026-08-24,VN-007,RL-BRI,DW-6001,EA,5,0,67.15,64.10,
PO-20083,1,2026-08-24,VN-003,RL-KPT,CM-3010,BG,5,0,9.11,9.30,
PO-20083,2,2026-08-24,VN-003,RL-KPT,CM-3002,BG,5,0,3.95,3.90,
PO-20083,3,2026-08-24,VN-003,RL-KPT,CM-3001,BG,11,0,5.00,4.95,
PO-20083,4,2026-08-24,VN-003,RL-KPT,CM-3020,EA,5,0,10.35,10.25,
PO-20084,1,2026-08-24,VN-001,RL-JCB,RM-1003,EA,5,0,8.15,8.25,
PO-20084,2,2026-08-24,VN-001,RL-JCB,RM-1020,EA,5,0,4.09,4.05,
