order_no,line_no,order_date,customer_no,branch_code,salesperson_code,item_no,uom,ordered_qty,filled_qty,cancelled_qty,unit_price,unit_cost,promised_date,shipped_date,order_status
SO-10009,3,2026-01-07,BL-3002,RL-KPT,S103,RM-1021,EA,44,23,0,34.85,28.10,2026-01-12,2026-01-11,PARTIAL
SO-10009,4,2026-01-07,BL-3002,RL-KPT,S103,DW-6010,EA,9,6,0,290.15,224.60,2026-01-12,2026-01-11,PARTIAL
SO-10010,1,2026-01-08,CT-1008,RL-JCB,S104,TL-9002,EA,114,114,0,8.81,6.40,2026-01-10,2026-01-10,SHIPPED
SO-10010,2,2026-01-08,CT-1008,RL-JCB,S104,FS-2010,EA,352,352,0,1.71,1.33,2026-01-10,2026-01-10,SHIPPED
SO-10010,3,2026-01-08,CT-1008,RL-JCB,S104,SX-7010,EA,61,61,0,14.40,10.65,2026-01-10,2026-01-10,SHIPPED
SO-10010,4,2026-01-08,CT-1008,RL-JCB,S104,TL-9002,EA,66,66,0,8.87,6.40,2026-01-10,2026-01-10,SHIPPED
SO-10010,5,2026-01-08,CT-1008,RL-JCB,S104,RM-1010,EA,375,275,0,17.82,13.50,2026-01-10,2026-01-10,SHIPPED
SO-10011,1,2026-01-08,BL-3001,RL-BRI,S101,CM-3020,EA,182,97,0,13.00,10.25,2026-01-11,2026-01-10,SHIPPED
SO-10012,1,2026-01-09,BL-3001,RL-BRI,S102,RM-1011,EA,126,126,0,22.54,17.95,2026-01-12,2026-01-12,SHIPPED
SO-10012,2,2026-01-09,BL-3001,RL-BRI,S102,RM-1021,EA,39,39,0,34.28,28.10,2026-01-12,2026-01-12,SHIPPED
SO-10012,3,2026-01-09,BL-3001,RL-BRI,S102,PT-5002,EA,140,140,0,29.27,23.70,2026-01-12,2026-01-12,SHIPPED
SO-10013,1,2026-01-09,CT-1003,RL-KPT,S105,RF-4011,RL,66,0,66,99.68,78.85,2026-01-15,,CANCELLED
SO-10013,2,2026-01-09,CT-1003,RL-KPT,S105,FS-2001,BX,100,0,100,28.19,20.60,2026-01-15,,CANCELLED
SO-10013,3,2026-01-09,CT-1003,RL-KPT,S105,FS-2002,BX,114,0,114,31.46,23.60,2026-01-15,,CANCELLED
SO-10013,4,2026-01-09,CT-1003,RL-KPT,S105,PT-5001,EA,78,0,78,43.11,32.20,2026-01-15,,CANCELLED
SO-10013,5,2026-01-09,CT-1003,RL-KPT,S105,RF-4001,BNDL,321,0,321,35.85,27.90,2026-01-15,,CANCELLED
SO-10014,1,2026-01-09,CT-1001,RL-BRI,S102,FS-2001,BX,222,0,222,26.40,20.60,2026-01-13,,CANCELLED
SO-10015,1,2026-01-09,CT-1008,RL-KPT,S105,PT-5010,EA,293,293,0,11.50,9.05,2026-01-15,2026-01-11,SHIPPED
SO-10016,1,2026-01-10,RT-2001,RL-JCB,S001,FS-2002,BX,180,180,0,32.75,23.60,2026-01-13,2026-01-14,SHIPPED
SO-10016,2,2026-01-10,RT-2001,RL-JCB,S001,FS-2010,EA,665,665,0,1.85,1.33,2026-01-13,2026-01-14,SHIPPED
SO-10017,1,2026-01-10,RT-2001,RL-BRI,S001,RM-1021,EA,72,50,0,38.90,28.10,2026-01-14,2026-01-12,SHIPPED
SO-10017,2,2026-01-10,RT-2001,RL-BRI,S001,CM-3001,BG,859,859,0,6.85,4.95,2026-01-14,2026-01-12,SHIPPED
SO-10017,3,2026-01-10,RT-2001,RL-BRI,S001,RF-4011,RL,79,79,0,109.50,78.85,2026-01-14,2026-01-12,SHIPPED
SO-10017,4,2026-01-10,RT-2001,RL-BRI,S001,CM-3010,BG,47,47,0,12.90,9.30,2026-01-14,2026-01-12,SHIPPED
SO-10018,1,2026-01-10,RT-2001,RL-JCB,S001,RM-1022,EA,326,326,0,8.95,6.45,2026-01-14,2026-01-13,SHIPPED
SO-10018,2,2026-01-10,RT-2001,RL-JCB,S001,RF-4001,BNDL,98,98,0,38.75,27.90,2026-01-14,2026-01-13,SHIPPED
SO-10018,3,2026-01-10,RT-2001,RL-JCB,S001,PT-5002,EA,67,67,0,32.90,23.70,2026-01-14,2026-01-13,SHIPPED
SO-10019,1,2026-01-10,RT-2003,RL-BRI,S001,CM-3001,BG,509,390,0,6.85,4.95,2026-01-16,2026-01-11,SHIPPED
SO-10019,2,2026-01-10,RT-2003,RL-BRI,S001,PT-5001,EA,191,191,0,44.75,32.20,2026-01-16,2026-01-11,SHIPPED
SO-10020,1,2026-01-12,CT-1005,RL-KPT,S105,PT-5011,BG,95,95,0,17.69,13.25,2026-01-16,2026-01-14,SHIPPED
SO-10020,2,2026-01-12,CT-1005,RL-KPT,S105,RF-4011,RL,38,38,0,101.88,78.85,2026-01-16,2026-01-14,SHIPPED
SO-10020,3,2026-01-12,CT-1005,RL-KPT,S105,CM-3002,BG,194,194,0,5.21,3.90,2026-01-16,2026-01-14,SHIPPED
SO-10020,4,2026-01-12,CT-1005,RL-KPT,S105,SX-7010,EA,105,105,0,14.08,10.65,2026-01-16,2026-01-14,SHIPPED
SO-10021,1,2026-01-12,CT-1003,RL-KPT,S105,CM-3010,BG,123,123,0,11.67,9.30,2026-01-18,2026-01-14,SHIPPED
SO-10021,2,2026-01-12,CT-1003,RL-KPT,S105,TL-9001,EA,263,263,0,5.91,4.50,2026-01-18,2026-01-14,SHIPPED
SO-10021,3,2026-01-12,CT-1003,RL-KPT,S105,CM-3001,BG,587,587,0,6.44,4.95,2026-01-18,2026-01-14,SHIPPED
SO-10021,4,2026-01-12,CT-1003,RL-KPT,S105,FS-2002,BX,191,153,0,32.00,23.60,2026-01-18,2026-01-14,SHIPPED
SO-10021,5,2026-01-12,CT-1003,RL-KPT,S105,RM-1021,EA,86,86,0,38.14,28.10,2026-01-18,2026-01-14,SHIPPED
SO-10022,1,2026-01-13,BL-3001,RL-KPT,S103,SX-7001,SQ,46,46,0,85.09,68.05,2026-01-15,2026-01-16,SHIPPED
SO-10022,2,2026-01-13,BL-3001,RL-KPT,S103,SX-7001,SQ,59,59,0,84.86,68.05,2026-01-15,2026-01-16,SHIPPED
SO-10022,3,2026-01-13,BL-3001,RL-KPT,S103,RF-4001,BNDL,420,420,0,34.18,27.90,2026-01-15,2026-01-16,SHIPPED
SO-10022,4,2026-01-13,BL-3001,RL-KPT,S103,TL-9002,EA,185,185,0,7.71,6.40,2026-01-15,2026-01-16,SHIPPED
SO-10023,1,2026-01-13,CT-1005,RL-BRI,S102,CM-3002,BG,128,128,0,5.15,3.90,2026-01-17,2026-01-17,SHIPPED
SO-10023,2,2026-01-13,CT-1005,RL-BRI,S102,DW-6002,EA,6,6,0,271.36,208.10,2026-01-17,2026-01-17,SHIPPED
SO-10023,3,2026-01-13,CT-1005,RL-BRI,S102,RM-1002,EA,1027,1027,0,6.43,4.95,2026-01-17,2026-01-17,SHIPPED
SO-10023,4,2026-01-13,CT-1005,RL-BRI,S102,RM-1001,EA,1766,1766,0,3.74,2.86,2026-01-17,2026-01-17,SHIPPED
SO-10023,5,2026-01-13,CT-1005,RL-BRI,S102,DW-6002,EA,16,16,0,283.22,208.10,2026-01-17,2026-01-17,SHIPPED
SO-10024,1,2026-01-13,CT-1004,RL-KPT,S105,PT-5001,EA,150,0,150,43.85,32.20,2026-01-18,,CANCELLED
SO-10024,2,2026-01-13,CT-1004,RL-KPT,S105,FS-2010,EA,810,0,810,1.84,1.33,2026-01-18,,CANCELLED
SO-10024,3,2026-01-13,CT-1004,RL-KPT,S105,RM-1002,EA,804,0,804,6.57,4.95,2026-01-18,,CANCELLED
SO-10024,4,2026-01-13,CT-1004,RL-KPT,S105,RM-1002,EA,253,0,253,6.46,4.95,2026-01-18,,CANCELLED
SO-10025,1,2026-01-13,CT-1008,RL-BRI,S102,DW-6002,EA,10,10,0,260.66,208.10,2026-01-18,2026-01-17,SHIPPED
SO-10025,2,2026-01-13,CT-1008,RL-BRI,S102,RM-1010,EA,847,847,0,18.09,13.50,2026-01-18,2026-01-17,SHIPPED
SO-10025,3,2026-01-13,CT-1008,RL-BRI,S102,RM-1003,EA,374,374,0,10.49,8.25,2026-01-18,2026-01-17,SHIPPED
SO-10026,1,2026-01-14,BL-3002,RL-BRI,S101,FS-2010,EA,857,857,0,1.70,1.33,2026-01-19,2026-01-17,SHIPPED
SO-10027,1,2026-01-14,CT-1003,RL-JCB,S104,CM-3001,BG,157,157,0,6.59,4.95,2026-01-20,2026-01-18,SHIPPED
SO-10028,1,2026-01-15,CT-1005,RL-JCB,S104,RM-1001,EA,898,898,0,3.62,2.86,2026-01-21,2026-01-24,SHIPPED
SO-10029,1,2026-01-15,CT-1006,RL-KPT,S105,TL-9001,EA,220,220,0,6.00,4.50,2026-01-22,2026-01-18,SHIPPED
SO-10029,2,2026-01-15,CT-1006,RL-KPT,S105,RF-4020,LF,614,614,0,2.14,1.69,2026-01-22,2026-01-18,SHIPPED
SO-10030,1,2026-01-16,CT-1004,RL-KPT,S105,RF-4001,BNDL,255,255,0,37.59,27.90,2026-01-20,2026-01-20,SHIPPED
SO-10031,1,2026-01-16,CT-1005,RL-KPT,S103,TL-9002,EA,149,92,0,8.37,6.40,2026-01-18,2026-01-18,SHIPPED
SO-10031,2,2026-01-16,CT-1005,RL-KPT,S103,CM-3020,EA,94,94,0,13.50,10.25,2026-01-18,2026-01-18,SHIPPED
SO-10032,1,2026-01-16,BL-3001,RL-BRI,S102,RF-4020,LF,295,295,0,2.16,1.69,2026-01-20,2026-01-17,SHIPPED
SO-10032,2,2026-01-16,BL-3001,RL-BRI,S102,FS-2011,EA,28,28,0,42.78,34.90,2026-01-20,2026-01-17,SHIPPED
SO-10032,3,2026-01-16,BL-3001,RL-BRI,S102,RF-4010,RL,228,228,0,26.42,21.50,2026-01-20,2026-01-17,SHIPPED
SO-10032,4,2026-01-16,BL-3001,RL-BRI,S102,PT-5010,EA,211,151,0,11.11,9.05,2026-01-20,2026-01-17,SHIPPED
SO-10033,1,2026-01-17,RT-2003,RL-JCB,S001,TL-9001,EA,164,96,0,6.25,4.50,2026-01-24,2026-01-20,PARTIAL
SO-10033,2,2026-01-17,RT-2003,RL-JCB,S001,RM-1010,EA,197,157,0,18.75,13.50,2026-01-24,2026-01-20,PARTIAL
SO-10033,3,2026-01-17,RT-2003,RL-JCB,S001,RM-1022,EA,310,189,0,8.95,6.45,2026-01-24,2026-01-20,PARTIAL
SO-10033,4,2026-01-17,RT-2003,RL-JCB,S001,RM-1011,EA,200,145,0,24.90,17.95,2026-01-24,2026-01-20,PARTIAL
SO-10034,1,2026-01-17,RT-2003,RL-JCB,S001,PT-5011,BG,54,54,0,18.40,13.25,2026-01-19,2026-01-19,SHIPPED
SO-10034,2,2026-01-17,RT-2003,RL-JCB,S001,DW-6010,EA,8,8,0,312.00,224.60,2026-01-19,2026-01-19,SHIPPED
SO-10035,1,2026-01-19,CT-1002,RL-JCB,S104,FS-2011,EA,26,13,0,45.63,34.90,2026-01-26,2026-01-21,PARTIAL
SO-10035,2,2026-01-19,CT-1002,RL-JCB,S104,TL-9001,EA,125,68,0,6.07,4.50,2026-01-26,2026-01-21,PARTIAL
SO-10036,1,2026-01-19,CT-1008,RL-BRI,S101,CM-3010,BG,140,140,0,12.68,9.30,2026-01-23,2026-01-23,SHIPPED
SO-10036,2,2026-01-19,CT-1008,RL-BRI,S101,RM-1011,EA,147,147,0,23.89,17.95,2026-01-23,2026-01-23,SHIPPED
SO-10036,3,2026-01-19,CT-1008,RL-BRI,S101,RF-4010,RL,131,131,0,27.82,21.50,2026-01-23,2026-01-23,SHIPPED
SO-10036,4,2026-01-19,CT-1008,RL-BRI,S101,DW-6001,EA,53,53,0,84.49,64.10,2026-01-23,2026-01-23,SHIPPED
SO-10036,5,2026-01-19,CT-1008,RL-BRI,S101,RM-1020,EA,292,292,0,5.45,4.05,2026-01-23,2026-01-23,SHIPPED
SO-10037,1,2026-01-19,BL-3002,RL-BRI,S101,RM-1003,EA,377,196,0,10.28,8.25,2026-01-22,2026-01-22,PARTIAL
SO-10037,2,2026-01-19,BL-3002,RL-BRI,S101,SX-7001,SQ,81,42,0,85.70,68.05,2026-01-22,2026-01-22,PARTIAL
SO-10037,3,2026-01-19,BL-3002,RL-BRI,S101,TL-9002,EA,338,216,0,7.94,6.40,2026-01-22,2026-01-22,PARTIAL
SO-10037,4,2026-01-19,BL-3002,RL-BRI,S101,RF-4020,LF,688,546,0,2.08,1.69,2026-01-22,2026-01-22,PARTIAL
SO-10037,5,2026-01-19,BL-3002,RL-BRI,S101,TL-9002,EA,156,129,0,8.23,6.40,2026-01-22,2026-01-22,PARTIAL
SO-10038,1,2026-01-19,BL-3001,RL-BRI,S101,RM-1001,EA,1359,1359,0,3.55,2.86,2026-01-23,2026-01-23,SHIPPED
SO-10038,2,2026-01-19,BL-3001,RL-BRI,S101,CM-3001,BG,629,629,0,6.16,4.95,2026-01-23,2026-01-23,SHIPPED
SO-10038,3,2026-01-19,BL-3001,RL-BRI,S101,SX-7001,SQ,70,70,0,85.42,68.05,2026-01-23,2026-01-23,SHIPPED
SO-10039,1,2026-01-20,CT-1008,RL-JCB,S104,RF-4011,RL,33,33,0,99.57,78.85,2026-01-22,2026-01-22,SHIPPED
SO-10040,1,2026-01-20,CT-1002,RL-KPT,S103,TL-9001,EA,370,370,0,5.97,4.50,2026-01-27,2026-01-23,SHIPPED
SO-10040,2,2026-01-20,CT-1002,RL-KPT,S103,PT-5011,BG,48,48,0,17.93,13.25,2026-01-27,2026-01-23,SHIPPED
SO-10041,1,2026-01-20,CT-1003,RL-JCB,S104,RF-4011,RL,45,45,0,105.78,78.85,2026-01-25,2026-01-21,SHIPPED
SO-10041,2,2026-01-20,CT-1003,RL-JCB,S104,FS-2002,BX,109,109,0,30.56,23.60,2026-01-25,2026-01-21,SHIPPED
SO-10041,3,2026-01-20,CT-1003,RL-JCB,S104,PT-5011,BG,54,54,0,16.91,13.25,2026-01-25,2026-01-21,SHIPPED
SO-10042,1,2026-01-21,CT-1004,RL-KPT,S103,FS-2002,BX,159,111,0,31.41,23.60,2026-01-26,2026-01-25,SHIPPED
SO-10043,1,2026-01-21,CT-1002,RL-JCB,S104,DW-6002,EA,12,10,0,262.26,208.10,2026-01-23,2026-01-23,PARTIAL
SO-10043,2,2026-01-21,CT-1002,RL-JCB,S104,RF-4001,BNDL,186,135,0,37.39,27.90,2026-01-23,2026-01-23,PARTIAL
SO-10043,3,2026-01-21,CT-1002,RL-JCB,S104,PT-5001,EA,131,104,0,41.98,32.20,2026-01-23,2026-01-23,PARTIAL
SO-10043,4,2026-01-21,CT-1002,RL-JCB,S104,RF-4020,LF,362,291,0,2.23,1.69,2026-01-23,2026-01-23,PARTIAL
SO-10043,5,2026-01-21,CT-1002,RL-JCB,S104,RM-1003,EA,179,97,0,11.04,8.25,2026-01-23,2026-01-23,PARTIAL
SO-10044,1,2026-01-21,CT-1005,RL-JCB,S104,RF-4011,RL,47,38,0,101.76,78.85,2026-01-26,2026-01-22,SHIPPED
SO-10045,1,2026-01-21,CT-1006,RL-BRI,S101,PT-5011,BG,120,120,0,18.24,13.25,2026-01-27,2026-01-23,SHIPPED
SO-10045,2,2026-01-21,CT-1006,RL-BRI,S101,FS-2002,BX,141,141,0,30.98,23.60,2026-01-27,2026-01-23,SHIPPED
SO-10045,3,2026-01-21,CT-1006,RL-BRI,S101,RM-1001,EA,1704,1704,0,3.70,2.86,2026-01-27,2026-01-23,SHIPPED
SO-10045,4,2026-01-21,CT-1006,RL-BRI,S101,FS-2010,EA,350,350,0,1.85,1.33,2026-01-27,2026-01-23,SHIPPED
SO-10046,1,2026-01-22,CT-1007,RL-KPT,S105,PT-5002,EA,78,78,0,30.58,23.70,2026-01-26,2026-01-23,SHIPPED
SO-10046,2,2026-01-22,CT-1007,RL-KPT,S105,DW-6001,EA,18,18,0,86.20,64.10,2026-01-26,2026-01-23,SHIPPED
SO-10047,1,2026-01-22,CT-1001,RL-JCB,S104,FS-2001,BX,121,121,0,27.49,20.60,2026-01-26,2026-01-24,SHIPPED
SO-10047,2,2026-01-22,CT-1001,RL-JCB,S104,RF-4011,RL,42,27,0,99.99,78.85,2026-01-26,2026-01-24,SHIPPED
SO-10048,1,2026-01-22,CT-1005,RL-BRI,S102,RF-4002,BNDL,134,134,0,51.38,37.65,2026-01-25,2026-01-25,SHIPPED
SO-10048,2,2026-01-22,CT-1005,RL-BRI,S102,TL-9001,EA,488,488,0,6.17,4.50,2026-01-25,2026-01-25,SHIPPED
SO-10049,1,2026-01-23,CT-1008,RL-JCB,S104,DW-6001,EA,7,7,0,84.15,64.10,2026-01-26,2026-01-26,SHIPPED
SO-10049,2,2026-01-23,CT-1008,RL-JCB,S104,RF-4001,BNDL,259,259,0,38.52,27.90,2026-01-26,2026-01-26,SHIPPED
SO-10049,3,2026-01-23,CT-1008,RL-JCB,S104,RM-1021,EA,57,57,0,37.42,28.10,2026-01-26,2026-01-26,SHIPPED
SO-10049,4,2026-01-23,CT-1008,RL-JCB,S104,RF-4020,LF,475,475,0,2.13,1.69,2026-01-26,2026-01-26,SHIPPED
SO-10050,1,2026-01-23,CT-1008,RL-JCB,S104,RF-4011,RL,50,25,0,101.12,78.85,2026-01-30,2026-01-24,PARTIAL
SO-10050,2,2026-01-23,CT-1008,RL-JCB,S104,FS-2001,BX,89,53,0,28.36,20.60,2026-01-30,2026-01-24,PARTIAL
SO-10050,3,2026-01-23,CT-1008,RL-JCB,S104,DW-6002,EA,10,7,0,285.69,208.10,2026-01-30,2026-01-24,PARTIAL
SO-10050,4,2026-01-23,CT-1008,RL-JCB,S104,RM-1021,EA,66,46,0,38.66,28.10,2026-01-30,2026-01-24,PARTIAL
SO-10051,1,2026-01-24,RT-2002,RL-BRI,S001,PT-5002,EA,42,24,0,32.90,23.70,2026-01-29,2026-01-27,PARTIAL
SO-10051,2,2026-01-24,RT-2002,RL-BRI,S001,RM-1022,EA,629,490,0,8.95,6.45,2026-01-29,2026-01-27,PARTIAL
SO-10052,1,2026-01-24,RT-2001,RL-KPT,S001,CM-3002,BG,97,97,0,5.40,3.90,2026-01-30,2026-01-26,SHIPPED
SO-10053,1,2026-01-24,RT-2001,RL-JCB,S001,FS-2002,BX,189,189,0,32.75,23.60,2026-01-27,2026-01-25,SHIPPED
SO-10053,2,2026-01-24,RT-2001,RL-JCB,S001,FS-2011,EA,13,13,0,48.50,34.90,2026-01-27,2026-01-25,SHIPPED
SO-10053,3,2026-01-24,RT-2001,RL-JCB,S001,FS-2001,BX,40,40,0,28.50,20.60,2026-01-27,2026-01-25,SHIPPED
SO-10054,1,2026-01-24,RT-2002,RL-BRI,S001,TL-9001,EA,287,287,0,6.25,4.50,2026-01-28,2026-01-25,SHIPPED
SO-10055,1,2026-01-26,CT-1002,RL-KPT,S103,RM-1002,EA,238,238,0,6.44,4.95,2026-02-01,2026-01-29,SHIPPED
SO-10056,1,2026-01-26,CT-1002,RL-KPT,S105,RF-4020,LF,361,361,0,2.18,1.69,2026-01-28,2026-01-28,SHIPPED
SO-10057,1,2026-01-26,BL-3001,RL-KPT,S103,CM-3010,BG,79,79,0,11.51,9.30,2026-02-02,2026-01-28,SHIPPED
SO-10058,1,2026-01-26,CT-1002,RL-BRI,S102,RM-1020,EA,238,238,0,5.25,4.05,2026-02-02,2026-02-03,SHIPPED
SO-10058,2,2026-01-26,CT-1002,RL-BRI,S102,FS-2001,BX,202,202,0,27.25,20.60,2026-02-02,2026-02-03,SHIPPED
SO-10058,3,2026-01-26,CT-1002,RL-BRI,S102,PT-5001,EA,201,201,0,44.18,32.20,2026-02-02,2026-02-03,SHIPPED
SO-10059,1,2026-01-27,CT-1001,RL-JCB,S104,RM-1021,EA,38,38,0,35.46,28.10,2026-01-31,2026-01-31,SHIPPED
SO-10060,1,2026-01-27,CT-1005,RL-KPT,S105,RF-4002,BNDL,29,29,0,51.06,37.65,2026-02-02,2026-01-28,SHIPPED
SO-10060,2,2026-01-27,CT-1005,RL-KPT,S105,PT-5001,EA,101,101,0,40.92,32.20,2026-02-02,2026-01-28,SHIPPED
SO-10060,3,2026-01-27,CT-1005,RL-KPT,S105,DW-6001,EA,12,12,0,88.75,64.10,2026-02-02,2026-01-28,SHIPPED
SO-10060,4,2026-01-27,CT-1005,RL-KPT,S105,RM-1020,EA,255,255,0,5.28,4.05,2026-02-02,2026-01-28,SHIPPED
SO-10060,5,2026-01-27,CT-1005,RL-KPT,S105,PT-5001,EA,71,71,0,41.73,32.20,2026-02-02,2026-01-28,SHIPPED
SO-10061,1,2026-01-27,BL-3002,RL-KPT,S103,RF-4002,BNDL,66,41,0,47.52,37.65,2026-01-30,2026-01-28,PARTIAL
SO-10061,2,2026-01-27,BL-3002,RL-KPT,S103,DW-6002,EA,8,6,0,251.17,208.10,2026-01-30,2026-01-28,PARTIAL
SO-10062,1,2026-01-28,CT-1002,RL-BRI,S102,CM-3002,BG,379,379,0,5.02,3.90,2026-02-03,2026-02-06,SHIPPED
SO-10062,2,2026-01-28,CT-1002,RL-BRI,S102,RM-1022,EA,153,153,0,8.21,6.45,2026-02-03,2026-02-06,SHIPPED
SO-10062,3,2026-01-28,CT-1002,RL-BRI,S102,PT-5011,BG,108,108,0,17.59,13.25,2026-02-03,2026-02-06,SHIPPED
SO-10063,1,2026-01-28,CT-1006,RL-BRI,S101,DW-6010,EA,21,15,0,293.83,224.60,2026-02-02,2026-01-31,PARTIAL
SO-10064,1,2026-01-28,CT-1002,RL-BRI,S102,CM-3020,EA,152,152,0,12.94,10.25,2026-01-31,2026-02-01,SHIPPED
SO-10064,2,2026-01-28,CT-1002,RL-BRI,S102,RF-4011,RL,74,74,0,107.08,78.85,2026-01-31,2026-02-01,SHIPPED
SO-10064,3,2026-01-28,CT-1002,RL-BRI,S102,RM-1011,EA,335,335,0,23.68,17.95,2026-01-31,2026-02-01,SHIPPED
SO-10064,4,2026-01-28,CT-1002,RL-BRI,S102,PT-5002,EA,77,77,0,31.73,23.70,2026-01-31,2026-02-01,SHIPPED
SO-10064,5,2026-01-28,CT-1002,RL-BRI,S102,FS-2002,BX,142,142,0,30.12,23.60,2026-01-31,2026-02-01,SHIPPED
SO-10065,1,2026-01-29,CT-1003,RL-KPT,S103,RF-4020,LF,620,620,0,2.15,1.69,2026-02-01,2026-02-02,SHIPPED
SO-10065,2,2026-01-29,CT-1003,RL-KPT,S103,RM-1011,EA,238,238,0,24.39,17.95,2026-02-01,2026-02-02,SHIPPED
SO-10065,3,2026-01-29,CT-1003,RL-KPT,S103,RM-1010,EA,317,317,0,17.74,13.50,2026-02-01,2026-02-02,SHIPPED
SO-10065,4,2026-01-29,CT-1003,RL-KPT,S103,RM-1003,EA,94,94,0,10.35,8.25,2026-02-01,2026-02-02,SHIPPED
SO-10066,1,2026-01-29,CT-1002,RL-KPT,S105,CM-3001,BG,357,357,0,6.27,4.95,2026-02-03,2026-01-30,SHIPPED
SO-10066,2,2026-01-29,CT-1002,RL-KPT,S105,RM-1010,EA,366,366,0,18.45,13.50,2026-02-03,2026-01-30,SHIPPED
SO-10066,3,2026-01-29,CT-1002,RL-KPT,S105,RM-1020,EA,196,196,0,5.18,4.05,2026-02-03,2026-01-30,SHIPPED
SO-10066,4,2026-01-29,CT-1002,RL-KPT,S105,SX-7001,SQ,64,64,0,90.81,68.05,2026-02-03,2026-01-30,SHIPPED
SO-10066,5,2026-01-29,CT-1002,RL-KPT,S105,PT-5010,EA,223,223,0,11.86,9.05,2026-02-03,2026-01-30,SHIPPED
