invoice_no,line_no,invoice_date,order_no,customer_no,branch_code,item_no,uom,invoiced_qty,unit_price,unit_cost,freight_amt,tax_amt
INV-50008,5,2026-01-10,SO-10008,CT-1005,RL-KPT,TL-9002,EA,1,8.84,6.40,0.00,0.00
INV-50009,1,2026-01-11,SO-10009,BL-3002,RL-KPT,PT-5002,EA,1,30.21,23.70,0.00,0.00
INV-50009,2,2026-01-11,SO-10009,BL-3002,RL-KPT,RM-1021,EA,1,35.95,28.10,0.00,0.00
INV-50009,3,2026-01-11,SO-10009,BL-3002,RL-KPT,RM-1021,EA,1,34.85,28.10,0.00,0.00
INV-50009,4,2026-01-11,SO-10009,BL-3002,RL-KPT,DW-6010,EA,1,290.15,224.60,0.00,0.00
INV-50010,1,2026-01-10,SO-10010,CT-1008,RL-JCB,TL-9002,EA,1,8.81,6.40,0.00,0.00
INV-50010,2,2026-01-10,SO-10010,CT-1008,RL-JCB,FS-2010,EA,2,1.71,1.33,0.00,0.00
INV-50010,3,2026-01-10,SO-10010,CT-1008,RL-JCB,SX-7010,EA,1,14.40,10.65,0.00,0.00
INV-50010,4,2026-01-10,SO-10010,CT-1008,RL-JCB,TL-9002,EA,1,8.87,6.40,0.00,0.00
INV-50010,5,2026-01-10,SO-10010,CT-1008,RL-JCB,RM-1010,EA,1,17.82,13.50,0.00,0.00
INV-50011,1,2026-01-10,SO-10011,BL-3001,RL-BRI,CM-3020,EA,1,13.00,10.25,0.00,0.00
INV-50012,1,2026-01-12,SO-10012,BL-3001,RL-BRI,RM-1011,EA,1,22.54,17.95,0.00,0.00
INV-50012,2,2026-01-12,SO-10012,BL-3001,RL-BRI,RM-1021,EA,1,34.28,28.10,0.00,0.00
INV-50012,3,2026-01-12,SO-10012,BL-3001,RL-BRI,PT-5002,EA,1,29.27,23.70,0.00,0.00
INV-50013,1,2026-01-11,SO-10015,CT-1008,RL-KPT,PT-5010,EA,1,11.50,9.05,0.00,0.00
INV-50014,1,2026-01-14,SO-10016,RT-2001,RL-JCB,FS-2002,BX,1,32.75,23.60,0.00,3.19
INV-50014,2,2026-01-14,SO-10016,RT-2001,RL-JCB,FS-2010,EA,3,1.85,1.33,0.00,0.54
INV-50015,1,2026-01-12,SO-10017,RT-2001,RL-BRI,RM-1021,EA,1,38.90,28.10,0.00,3.79
INV-50015,2,2026-01-12,SO-10017,RT-2001,RL-BRI,CM-3001,BG,4,6.85,4.95,0.00,2.67
INV-50015,3,2026-01-12,SO-10017,RT-2001,RL-BRI,RF-4011,RL,1,109.50,78.85,0.00,10.68
INV-50015,4,2026-01-12,SO-10017,RT-2001,RL-BRI,CM-3010,BG,1,12.90,9.30,0.00,1.26
INV-50016,1,2026-01-13,SO-10018,RT-2001,RL-JCB,RM-1022,EA,2,8.95,6.45,0.00,1.75
INV-50016,2,2026-01-13,SO-10018,RT-2001,RL-JCB,RF-4001,BNDL,1,38.75,27.90,0.00,3.78
INV-50016,3,2026-01-13,SO-10018,RT-2001,RL-JCB,PT-5002,EA,1,32.90,23.70,0.00,3.21
INV-50017,1,2026-01-11,SO-10019,RT-2003,RL-BRI,CM-3001,BG,2,6.85,4.95,0.00,1.34
INV-50017,2,2026-01-11,SO-10019,RT-2003,RL-BRI,PT-5001,EA,1,44.75,32.20,0.00,4.36
INV-50018,1,2026-01-14,SO-10020,CT-1005,RL-KPT,PT-5011,BG,1,17.69,13.25,0.00,0.00
INV-50018,2,2026-01-14,SO-10020,CT-1005,RL-KPT,RF-4011,RL,1,101.88,78.85,0.00,0.00
INV-50018,3,2026-01-14,SO-10020,CT-1005,RL-KPT,CM-3002,BG,1,5.21,3.90,0.00,0.00
INV-50018,4,2026-01-14,SO-10020,CT-1005,RL-KPT,SX-7010,EA,1,14.08,10.65,0.00,0.00
INV-50019,1,2026-01-14,SO-10021,CT-1003,RL-KPT,CM-3010,BG,1,11.67,9.30,0.00,0.00
INV-50019,2,2026-01-14,SO-10021,CT-1003,RL-KPT,TL-9001,EA,1,5.91,4.50,0.00,0.00
INV-50019,3,2026-01-14,SO-10021,CT-1003,RL-KPT,CM-3001,BG,3,6.44,4.95,0.00,0.00
INV-50019,4,2026-01-14,SO-10021,CT-1003,RL-KPT,FS-2002,BX,1,32.00,23.60,0.00,0.00
INV-50019,5,2026-01-14,SO-10021,CT-1003,RL-KPT,RM-1021,EA,1,38.14,28.10,0.00,0.00
INV-50020,1,2026-01-16,SO-10022,BL-3001,RL-KPT,SX-7001,SQ,1,85.09,68.05,0.00,0.00
INV-50020,2,2026-01-16,SO-10022,BL-3001,RL-KPT,SX-7001,SQ,1,84.86,68.05,0.00,0.00
INV-50020,3,2026-01-16,SO-10022,BL-3001,RL-KPT,RF-4001,BNDL,2,34.18,27.90,0.00,0.00
INV-50020,4,2026-01-16,SO-10022,BL-3001,RL-KPT,TL-9002,EA,1,7.71,6.40,0.00,0.00
INV-50021,1,2026-01-17,SO-10023,CT-1005,RL-BRI,CM-3002,BG,1,5.15,3.90,0.00,0.00
INV-50021,2,2026-01-17,SO-10023,CT-1005,RL-BRI,DW-6002,EA,1,271.36,208.10,0.00,0.00
INV-50021,3,2026-01-17,SO-10023,CT-1005,RL-BRI,RM-1002,EA,5,6.43,4.95,0.00,0.00
INV-50021,4,2026-01-17,SO-10023,CT-1005,RL-BRI,RM-1001,EA,9,3.74,2.86,0.00,0.00
INV-50021,5,2026-01-17,SO-10023,CT-1005,RL-BRI,DW-6002,EA,1,283.22,208.10,0.00,0.00
INV-50022,1,2026-01-17,SO-10025,CT-1008,RL-BRI,DW-6002,EA,1,260.66,208.10,0.00,0.00
INV-50022,2,2026-01-17,SO-10025,CT-1008,RL-BRI,RM-1010,EA,4,18.09,13.50,0.00,0.00
INV-50022,3,2026-01-17,SO-10025,CT-1008,RL-BRI,RM-1003,EA,2,10.49,8.25,0.00,0.00
INV-50023,1,2026-01-17,SO-10026,BL-3002,RL-BRI,FS-2010,EA,4,1.70,1.33,0.00,0.00
INV-50024,1,2026-01-18,SO-10027,CT-1003,RL-JCB,CM-3001,BG,1,6.59,4.95,0.00,0.00
INV-50025,1,2026-01-24,SO-10028,CT-1005,RL-JCB,RM-1001,EA,4,3.62,2.86,0.00,0.00
INV-50026,1,2026-01-18,SO-10029,CT-1006,RL-KPT,TL-9001,EA,1,6.00,4.50,0.00,0.00
INV-50026,2,2026-01-18,SO-10029,CT-1006,RL-KPT,RF-4020,LF,3,2.14,1.69,0.00,0.00
INV-50027,1,2026-01-20,SO-10030,CT-1004,RL-KPT,RF-4001,BNDL,1,37.59,27.90,0.00,0.00
INV-50028,1,2026-01-18,SO-10031,CT-1005,RL-KPT,TL-9002,EA,1,8.37,6.40,0.00,0.00
INV-50028,2,2026-01-18,SO-10031,CT-1005,RL-KPT,CM-3020,EA,1,13.50,10.25,0.00,0.00
INV-50029,1,2026-01-17,SO-10032,BL-3001,RL-BRI,RF-4020,LF,1,2.16,1.69,0.00,0.00
INV-50029,2,2026-01-17,SO-10032,BL-3001,RL-BRI,FS-2011,EA,1,42.78,34.90,0.00,0.00
INV-50029,3,2026-01-17,SO-10032,BL-3001,RL-BRI,RF-4010,RL,1,26.42,21.50,0.00,0.00
INV-50029,4,2026-01-17,SO-10032,BL-3001,RL-BRI,PT-5010,EA,1,11.11,9.05,0.00,0.00
INV-50030,1,2026-01-20,SO-10033,RT-2003,RL-JCB,TL-9001,EA,1,6.25,4.50,0.00,0.61
INV-50030,2,2026-01-20,SO-10033,RT-2003,RL-JCB,RM-1010,EA,1,18.75,13.50,0.00,1.83
INV-50030,3,2026-01-20,SO-10033,RT-2003,RL-JCB,RM-1022,EA,1,8.95,6.45,0.00,0.87
INV-50030,4,2026-01-20,SO-10033,RT-2003,RL-JCB,RM-1011,EA,1,24.90,17.95,0.00,2.43
INV-50031,1,2026-01-19,SO-10034,RT-2003,RL-JCB,PT-5011,BG,1,18.40,13.25,0.00,1.79
INV-50031,2,2026-01-19,SO-10034,RT-2003,RL-JCB,DW-6010,EA,1,312.00,224.60,0.00,30.42
INV-50032,1,2026-01-21,SO-10035,CT-1002,RL-JCB,FS-2011,EA,1,45.63,34.90,0.00,0.00
INV-50032,2,2026-01-21,SO-10035,CT-1002,RL-JCB,TL-9001,EA,1,6.07,4.50,0.00,0.00
INV-50033,1,2026-01-23,SO-10036,CT-1008,RL-BRI,CM-3010,BG,1,12.68,9.30,0.00,0.00
INV-50033,2,2026-01-23,SO-10036,CT-1008,RL-BRI,RM-1011,EA,1,23.89,17.95,0.00,0.00
INV-50033,3,2026-01-23,SO-10036,CT-1008,RL-BRI,RF-4010,RL,1,27.82,21.50,0.00,0.00
INV-50033,4,2026-01-23,SO-10036,CT-1008,RL-BRI,DW-6001,EA,1,84.49,64.10,0.00,0.00
INV-50033,5,2026-01-23,SO-10036,CT-1008,RL-BRI,RM-1020,EA,1,5.45,4.05,0.00,0.00
INV-50034,1,2026-01-22,SO-10037,BL-3002,RL-BRI,RM-1003,EA,1,10.28,8.25,0.00,0.00
INV-50034,2,2026-01-22,SO-10037,BL-3002,RL-BRI,SX-7001,SQ,1,85.70,68.05,0.00,0.00
INV-50034,3,2026-01-22,SO-10037,BL-3002,RL-BRI,TL-9002,EA,1,7.94,6.40,0.00,0.00
INV-50034,4,2026-01-22,SO-10037,BL-3002,RL-BRI,RF-4020,LF,2,2.08,1.69,0.00,0.00
INV-50034,5,2026-01-22,SO-10037,BL-3002,RL-BRI,TL-9002,EA,1,8.23,6.40,0.00,0.00
INV-50035,1,2026-01-23,SO-10038,BL-3001,RL-BRI,RM-1001,EA,7,3.55,2.86,0.00,0.00
INV-50035,2,2026-01-23,SO-10038,BL-3001,RL-BRI,CM-3001,BG,3,6.16,4.95,0.00,0.00
INV-50035,3,2026-01-23,SO-10038,BL-3001,RL-BRI,SX-7001,SQ,1,85.42,68.05,0.00,0.00
INV-50036,1,2026-01-22,SO-10039,CT-1008,RL-JCB,RF-4011,RL,1,99.57,78.85,0.00,0.00
INV-50037,1,2026-01-23,SO-10040,CT-1002,RL-KPT,TL-9001,EA,2,5.97,4.50,0.00,0.00
INV-50037,2,2026-01-23,SO-10040,CT-1002,RL-KPT,PT-5011,BG,1,17.93,13.25,0.00,0.00
INV-50038,1,2026-01-21,SO-10041,CT-1003,RL-JCB,RF-4011,RL,1,105.78,78.85,0.00,0.00
INV-50038,2,2026-01-21,SO-10041,CT-1003,RL-JCB,FS-2002,BX,1,30.56,23.60,0.00,0.00
INV-50038,3,2026-01-21,SO-10041,CT-1003,RL-JCB,PT-5011,BG,1,16.91,13.25,0.00,0.00
INV-50039,1,2026-01-25,SO-10042,CT-1004,RL-KPT,FS-2002,BX,1,31.41,23.60,0.00,0.00
INV-50040,1,2026-01-23,SO-10043,CT-1002,RL-JCB,DW-6002,EA,1,262.26,208.10,0.00,0.00
INV-50040,2,2026-01-23,SO-10043,CT-1002,RL-JCB,RF-4001,BNDL,1,37.39,27.90,0.00,0.00
INV-50040,3,2026-01-23,SO-10043,CT-1002,RL-JCB,PT-5001,EA,1,41.98,32.20,0.00,0.00
INV-50040,4,2026-01-23,SO-10043,CT-1002,RL-JCB,RF-4020,LF,2,2.23,1.69,0.00,0.00
INV-50040,5,2026-01-23,SO-10043,CT-1002,RL-JCB,RM-1003,EA,1,11.04,8.25,0.00,0.00
INV-50041,1,2026-01-22,SO-10044,CT-1005,RL-JCB,RF-4011,RL,1,101.76,78.85,0.00,0.00
INV-50042,1,2026-01-23,SO-10045,CT-1006,RL-BRI,PT-5011,BG,1,18.24,13.25,0.00,0.00
INV-50042,2,2026-01-23,SO-10045,CT-1006,RL-BRI,FS-2002,BX,1,30.98,23.60,0.00,0.00
INV-50042,3,2026-01-23,SO-10045,CT-1006,RL-BRI,RM-1001,EA,9,3.70,2.86,0.00,0.00
INV-50042,4,2026-01-23,SO-10045,CT-1006,RL-BRI,FS-2010,EA,2,1.85,1.33,0.00,0.00
INV-50043,1,2026-01-23,SO-10046,CT-1007,RL-KPT,PT-5002,EA,1,30.58,23.70,0.00,0.00
INV-50043,2,2026-01-23,SO-10046,CT-1007,RL-KPT,DW-6001,EA,1,86.20,64.10,0.00,0.00
INV-50044,1,2026-01-24,SO-10047,CT-1001,RL-JCB,FS-2001,BX,1,27.49,20.60,0.00,0.00
INV-50044,2,2026-01-24,SO-10047,CT-1001,RL-JCB,RF-4011,RL,1,99.99,78.85,0.00,0.00
INV-50045,1,2026-01-25,SO-10048,CT-1005,RL-BRI,RF-4002,BNDL,1,51.38,37.65,0.00,0.00
INV-50045,2,2026-01-25,SO-10048,CT-1005,RL-BRI,TL-9001,EA,2,6.17,4.50,0.00,0.00
INV-50046,1,2026-01-26,SO-10049,CT-1008,RL-JCB,DW-6001,EA,1,84.15,64.10,0.00,0.00
INV-50046,2,2026-01-26,SO-10049,CT-1008,RL-JCB,RF-4001,BNDL,1,38.52,27.90,0.00,0.00
INV-50046,3,2026-01-26,SO-10049,CT-1008,RL-JCB,RM-1021,EA,1,37.42,28.10,0.00,0.00
INV-50046,4,2026-01-26,SO-10049,CT-1008,RL-JCB,RF-4020,LF,2,2.13,1.69,0.00,0.00
INV-50047,1,2026-01-24,SO-10050,CT-1008,RL-JCB,RF-4011,RL,1,101.12,78.85,0.00,0.00
INV-50047,2,2026-01-24,SO-10050,CT-1008,RL-JCB,FS-2001,BX,1,28.36,20.60,0.00,0.00
INV-50047,3,2026-01-24,SO-10050,CT-1008,RL-JCB,DW-6002,EA,1,285.69,208.10,0.00,0.00
INV-50047,4,2026-01-24,SO-10050,CT-1008,RL-JCB,RM-1021,EA,1,38.66,28.10,0.00,0.00
INV-50048,1,2026-01-27,SO-10051,RT-2002,RL-BRI,PT-5002,EA,1,32.90,23.70,0.00,3.21
INV-50048,2,2026-01-27,SO-10051,RT-2002,RL-BRI,RM-1022,EA,2,8.95,6.45,0.00,1.75
INV-50049,1,2026-01-26,SO-10052,RT-2001,RL-KPT,CM-3002,BG,1,5.40,3.90,0.00,0.53
INV-50050,1,2026-01-25,SO-10053,RT-2001,RL-JCB,FS-2002,BX,1,32.75,23.60,0.00,3.19
INV-50050,2,2026-01-25,SO-10053,RT-2001,RL-JCB,FS-2011,EA,1,48.50,34.90,0.00,4.73
INV-50050,3,2026-01-25,SO-10053,RT-2001,RL-JCB,FS-2001,BX,1,28.50,20.60,0.00,2.78
INV-50051,1,2026-01-25,SO-10054,RT-2002,RL-BRI,TL-9001,EA,1,6.25,4.50,0.00,0.61
INV-50052,1,2026-01-29,SO-10055,CT-1002,RL-KPT,RM-1002,EA,1,6.44,4.95,0.00,0.00
INV-50053,1,2026-01-28,SO-10056,CT-1002,RL-KPT,RF-4020,LF,2,2.18,1.69,0.00,0.00
INV-50054,1,2026-01-28,SO-10057,BL-3001,RL-KPT,CM-3010,BG,1,11.51,9.30,0.00,0.00
INV-50055,1,2026-02-03,SO-10058,CT-1002,RL-BRI,RM-1020,EA,1,5.25,4.05,0.00,0.00
INV-50055,2,2026-02-03,SO-10058,CT-1002,RL-BRI,FS-2001,BX,1,27.25,20.60,0.00,0.00
INV-50055,3,2026-02-03,SO-10058,CT-1002,RL-BRI,PT-5001,EA,1,44.18,32.20,0.00,0.00
INV-50056,1,2026-01-31,SO-10059,CT-1001,RL-JCB,RM-1021,EA,1,35.46,28.10,0.00,0.00
INV-50057,1,2026-01-28,SO-10060,CT-1005,RL-KPT,RF-4002,BNDL,1,51.06,37.65,0.00,0.00
INV-50057,2,2026-01-28,SO-10060,CT-1005,RL-KPT,PT-5001,EA,1,40.92,32.20,0.00,0.00
INV-50057,3,2026-01-28,SO-10060,CT-1005,RL-KPT,DW-6001,EA,1,88.75,64.10,0.00,0.00
INV-50057,4,2026-01-28,SO-10060,CT-1005,RL-KPT,RM-1020,EA,1,5.28,4.05,0.00,0.00
INV-50057,5,2026-01-28,SO-10060,CT-1005,RL-KPT,PT-5001,EA,1,41.73,32.20,0.00,0.00
INV-50058,1,2026-01-28,SO-10061,BL-3002,RL-KPT,RF-4002,BNDL,1,47.52,37.65,0.00,0.00
INV-50058,2,2026-01-28,SO-10061,BL-3002,RL-KPT,DW-6002,EA,1,251.17,208.10,0.00,0.00
INV-50059,1,2026-02-06,SO-10062,CT-1002,RL-BRI,CM-3002,BG,2,5.02,3.90,0.00,0.00
INV-50059,2,2026-02-06,SO-10062,CT-1002,RL-BRI,RM-1022,EA,1,8.21,6.45,0.00,0.00
INV-50059,3,2026-02-06,SO-10062,CT-1002,RL-BRI,PT-5011,BG,1,17.59,13.25,0.00,0.00
INV-50060,1,2026-01-31,SO-10063,CT-1006,RL-BRI,DW-6010,EA,1,293.83,224.60,0.00,0.00
INV-50061,1,2026-02-01,SO-10064,CT-1002,RL-BRI,CM-3020,EA,1,12.94,10.25,0.00,0.00
INV-50061,2,2026-02-01,SO-10064,CT-1002,RL-BRI,RF-4011,RL,1,107.08,78.85,0.00,0.00
INV-50061,3,2026-02-01,SO-10064,CT-1002,RL-BRI,RM-1011,EA,2,23.68,17.95,0.00,0.00
INV-50061,4,2026-02-01,SO-10064,CT-1002,RL-BRI,PT-5002,EA,1,31.73,23.70,0.00,0.00
INV-50061,5,2026-02-01,SO-10064,CT-1002,RL-BRI,FS-2002,BX,1,30.12,23.60,0.00,0.00
INV-50062,1,2026-02-02,SO-10065,CT-1003,RL-KPT,RF-4020,LF,3,2.15,1.69,0.00,0.00
INV-50062,2,2026-02-02,SO-10065,CT-1003,RL-KPT,RM-1011,EA,1,24.39,17.95,0.00,0.00
INV-50062,3,2026-02-02,SO-10065,CT-1003,RL-KPT,RM-1010,EA,2,17.74,13.50,0.00,0.00
INV-50062,4,2026-02-02,SO-10065,CT-1003,RL-KPT,RM-1003,EA,1,10.35,8.25,0.00,0.00
INV-50063,1,2026-01-30,SO-10066,CT-1002,RL-KPT,CM-3001,BG,2,6.27,4.95,0.00,0.00
INV-50063,2,2026-01-30,SO-10066,CT-1002,RL-KPT,RM-1010,EA,2,18.45,13.50,0.00,0.00
INV-50063,3,2026-01-30,SO-10066,CT-1002,RL-KPT,RM-1020,EA,1,5.18,4.05,0.00,0.00
INV-50063,4,2026-01-30,SO-10066,CT-1002,RL-KPT,SX-7001,SQ,1,90.81,68.05,0.00,0.00
INV-50063,5,2026-01-30,SO-10066,CT-1002,RL-KPT,PT-5010,EA,1,11.86,9.05,0.00,0.00
INV-50064,1,2026-02-02,SO-10067,CT-1006,RL-KPT,RF-4010,RL,1,29.79,21.50,0.00,0.00
INV-50064,2,2026-02-02,SO-10067,CT-1006,RL-KPT,FS-2002,BX,1,29.94,23.60,0.00,0.00
INV-50064,3,2026-02-02,SO-10067,CT-1006,RL-KPT,PT-5002,EA,1,31.79,23.70,0.00,0.00
INV-50065,1,2026-01-31,SO-10068,CT-1003,RL-KPT,RM-1020,EA,1,5.24,4.05,0.00,0.00
INV-50065,2,2026-01-31,SO-10068,CT-1003,RL-KPT,PT-5010,EA,1,11.77,9.05,0.00,0.00
INV-50065,3,2026-01-31,SO-10068,CT-1003,RL-KPT,TL-9002,EA,1,8.15,6.40,0.00,0.00
INV-50065,4,2026-01-31,SO-10068,CT-1003,RL-KPT,RF-4010,RL,1,29.21,21.50,0.00,0.00
INV-50065,5,2026-01-31,SO-10068,CT-1003,RL-KPT,RM-1003,EA,1,10.96,8.25,0.00,0.00
INV-50066,1,2026-02-09,SO-10069,CT-1007,RL-BRI,CM-3020,EA,1,13.90,10.25,0.00,0.00
INV-50066,2,2026-02-09,SO-10069,CT-1007,RL-BRI,SX-7001,SQ,1,94.17,68.05,0.00,0.00
INV-50066,3,2026-02-09,SO-10069,CT-1007,RL-BRI,TL-9001,EA,2,6.05,4.50,0.00,0.00
INV-50066,4,2026-02-09,SO-10069,CT-1007,RL-BRI,SX-7001,SQ,1,88.66,68.05,0.00,0.00
INV-50066,5,2026-02-09,SO-10069,CT-1007,RL-BRI,DW-6002,EA,1,283.26,208.10,0.00,0.00
INV-50067,1,2026-01-31,SO-10070,CT-1003,RL-JCB,RM-1022,EA,1,8.30,6.45,0.00,0.00
INV-50067,2,2026-01-31,SO-10070,CT-1003,RL-JCB,FS-2002,BX,1,32.46,23.60,0.00,0.00
INV-50067,3,2026-01-31,SO-10070,CT-1003,RL-JCB,SX-7001,SQ,1,88.97,68.05,0.00,0.00
INV-50067,4,2026-01-31,SO-10070,CT-1003,RL-JCB,DW-6001,EA,1,88.95,64.10,0.00,0.00
INV-50068,1,2026-02-02,SO-10071,CT-1006,RL-BRI,TL-9001,EA,2,6.07,4.50,0.00,0.00
INV-50068,2,2026-02-02,SO-10071,CT-1006,RL-BRI,SX-7001,SQ,1,85.23,68.05,0.00,0.00
INV-50068,3,2026-02-02,SO-10071,CT-1006,RL-BRI,CM-3002,BG,2,5.25,3.90,0.00,0.00
INV-50069,1,2026-02-06,SO-10072,BL-3001,RL-BRI,RM-1002,EA,4,6.28,4.95,0.00,0.00
INV-50069,2,2026-02-06,SO-10072,BL-3001,RL-BRI,RF-4010,RL,1,26.29,21.50,0.00,0.00
INV-50069,3,2026-02-06,SO-10072,BL-3001,RL-BRI,DW-6002,EA,1,260.64,208.10,0.00,0.00
INV-50070,1,2026-02-03,SO-10074,RT-2001,RL-JCB,FS-2011,EA,1,48.50,34.90,0.00,4.73
INV-50070,2,2026-02-03,SO-10074,RT-2001,RL-JCB,TL-9001,EA,1,6.25,4.50,0.00,0.61
INV-50070,3,2026-02-03,SO-10074,RT-2001,RL-JCB,RM-1011,EA,1,24.90,17.95,0.00,2.43
INV-50071,1,2026-02-04,SO-10075,RT-2001,RL-BRI,TL-9001,EA,1,6.25,4.50,0.00,0.61
INV-50072,1,2026-02-04,SO-10076,RT-2002,RL-JCB,SX-7001,SQ,1,94.50,68.05,0.00,9.21
INV-50072,2,2026-02-04,SO-10076,RT-2002,RL-JCB,FS-2011,EA,1,48.50,34.90,0.00,4.73
INV-50072,3,2026-02-04,SO-10076,RT-2002,RL-JCB,RF-4002,BNDL,1,52.30,37.65,0.00,5.10
INV-50073,1,2026-02-05,SO-10077,CT-1007,RL-KPT,RF-4011,RL,1,100.37,78.85,0.00,0.00
INV-50073,2,2026-02-05,SO-10077,CT-1007,RL-KPT,SX-7001,SQ,1,93.27,68.05,0.00,0.00
INV-50073,3,2026-02-05,SO-10077,CT-1007,RL-KPT,PT-5002,EA,1,31.71,23.70,0.00,0.00
INV-50074,1,2026-02-03,SO-10078,CT-1001,RL-BRI,SX-7001,SQ,1,88.51,68.05,0.00,0.00
INV-50074,2,2026-02-03,SO-10078,CT-1001,RL-BRI,PT-5011,BG,1,17.39,13.25,0.00,0.00
INV-50074,3,2026-02-03,SO-10078,CT-1001,RL-BRI,PT-5010,EA,2,12.06,9.05,0.00,0.00
INV-50074,4,2026-02-03,SO-10078,CT-1001,RL-BRI,PT-5010,EA,2,11.65,9.05,0.00,0.00
INV-50074,5,2026-02-03,SO-10078,CT-1001,RL-BRI,RM-1022,EA,1,8.52,6.45,0.00,0.00
INV-50075,1,2026-02-07,SO-10079,CT-1002,RL-BRI,FS-2001,BX,2,28.21,20.60,0.00,0.00
INV-50075,2,2026-02-07,SO-10079,CT-1002,RL-BRI,SX-7001,SQ,1,94.19,68.05,0.00,0.00
INV-50075,3,2026-02-07,SO-10079,CT-1002,RL-BRI,RF-4020,LF,4,2.24,1.69,0.00,0.00
INV-50075,4,2026-02-07,SO-10079,CT-1002,RL-BRI,RF-4010,RL,1,29.04,21.50,0.00,0.00
INV-50076,1,2026-02-10,SO-10080,CT-1003,RL-JCB,PT-5010,EA,1,11.50,9.05,0.00,0.00
INV-50076,2,2026-02-10,SO-10080,CT-1003,RL-JCB,RM-1020,EA,1,5.44,4.05,0.00,0.00
INV-50077,1,2026-02-04,SO-10081,CT-1008,RL-KPT,PT-5002,EA,1,31.42,23.70,0.00,0.00
INV-50078,1,2026-02-04,SO-10082,BL-3002,RL-BRI,FS-2002,BX,1,30.61,23.60,0.00,0.00
INV-50078,2,2026-02-04,SO-10082,BL-3002,RL-BRI,CM-3010,BG,1,12.02,9.30,0.00,0.00
INV-50078,3,2026-02-04,SO-10082,BL-3002,RL-BRI,RM-1020,EA,1,5.06,4.05,0.00,0.00
INV-50078,4,2026-02-04,SO-10082,BL-3002,RL-BRI,FS-2001,BX,1,24.72,20.60,0.00,0.00
INV-50078,5,2026-02-04,SO-10082,BL-3002,RL-BRI,FS-2010,EA,3,1.62,1.33,0.00,0.00
INV-50079,1,2026-02-07,SO-10083,BL-3002,RL-BRI,DW-6002,EA,1,261.15,208.10,0.00,0.00
INV-50080,1,2026-02-08,SO-10084,CT-1005,RL-KPT,DW-6002,EA,1,277.63,208.10,0.00,0.00
